Original|Translated
Faerin's Advance|Faerins Vorstoß
Pillar-nest Vosh|Stütznest Vosh
Pillar-nest Noth|Stütznest Noth
Pillar-nest Xesh|Stütznest Xesh
Lightless Channels|Lichtlose Kanäle
Eye of Ansurek|Auge von Ansurek
The Silken Path|Der Seidenpfad
Crawling Chasm|Kriechender Abgrund
The Threading Way|Der Fädelnde Weg
The Char|Die Kohle
Lushdream Crags|Reichtraumklippen
Fungal Folly|Fungusphantasterei
Wildcamp Or'lay|Wildlager Or'lay
Lucid Reef|Glanzriff
Central Encampment|Zentrallager
Shiversnap Grove|Schauderschnapphain
Dev Map - Quest Training|Entwicklerkarte - Questtraining
Slumbersome Shores|Schlummerschlafufer
Wakeful Vista|Wachsamer Ausblick
Dev Map - Exile's Reach|Entwicklerkarte - Insel des Verbannten
Dev Map - Zereth Mortis|Entwicklerkarte - Zereth Mortis
Dev Map - Mechagon|Entwicklerkarte - Mechagon
The Dawnbreaker|Die Morgenbringer
Peridot Coast|Peridotküste
Springrain River|Frühlingsregenfluss
The Smoldering Copse|Das Qualmende Gehölz
Smoldering Redoubt|Qualmendes Bollwerk
Summerjoy Shoal|Sommerjubelsandbank
Craggy Reef|Zerklüftetes Riff
Swirling Mists|Wirbelnder Nebel
Deephaul Ravine|Tiefbeuteschlucht
Wildling Garden|Wildlingsgarten
Verdant Pass|Tiefgrüner Pass
Dreamsurge Basin|Traumsprungbecken
Mycomancer Cavern|Mykomantenhöhle
Earthcrawl Mines|Erdwühlerminen
Kriegval's Rest|Kriegvals Kräftigung
Zekvir's Lair|Zekvirs Höhle
The Dread Pit|Der Terrorschacht
Skittering Breach|Schwärmerbresche
Nightfall Sanctum|Nachtsturzsanktum
The Sinkhole|Der Erdsturz
The Spiral Weave|Das Spiralgewebe
Tak-Rethan Abyss|Tak-Rethan-Abgrund
The Underkeep|Tiefenfestung
Sor'theril Barrow Den|Grabhügel von Sor'theril
Sprigling Gloam|Sprösslingszwielicht
Whorlwing Basin|Wirbelschwingenbecken
Rootwoven Strand|Wurzelgewobenes Gestade
Hewn Passage|Meißelpassage
Sprawling Trackyard|Großdepot
The Waxatory|Das Wachsarium
Hall of the Candle King|Halle des Kerzenkönigs
Lightless Depths|Lichtlose Kluft
Torchlight Mine|Fackelscheinmine
The Faded Shore|Die Verblasste Küste
Heart of Amirdrassil|Herz von Amirdrassil
2510 Coreway|Kernweg 2510
Thunderhead Peak|Donnerkopfspitze
Deepforge Golemworks|Golemwerke der Tiefenschmiede
Shadowvein Extraction Site|Schattenaderförderstätte
Shadowmire|Schattenbruch
The Ragged Front|Die Alte Front
Lightspark|Lichtfunke
Sunless Strand|Sonnenloser Strand
The Hungering Pool|Der Lauernde Strudel
Light's Blooming|Blüte des Lichts
Cliffside Beacon|Felsklippenleuchtfeuer
The Three Shields|Die Drei Schilde
Keepers Terrace|Terrasse der Hüter
The Forgegrounds|Die Schmiedegründe
Foundation Hall|Gründungshalle
The Coreway|Der Kernweg
Fallside Outpost|Fallsprungaußenposten
Hall of Awakening|Halle des Erwachens
Pit of Volcoross|Volcoross' Grube
Wellspring Atrium|Lebensquellvorhalle
Aviana's Perch|Avianas Stange
Tyr's Rest|Tyrs Ruhestätte
Brew Bay|Die Braubucht
Clearfell's Patch|Klarfalls Flecken
Labor's Rest|Arbeitsruhe
Marrow's Farm|Markhof
Forsaken Wagon|Wagen der Verlassenen
The Mangled Chord|Die Geschundene Sehne
The Neglected Seat|Der Verwahrloste Sitz
Ara-Kara, City of Echoes|Ara-Kara, Stadt der Echos
Duskrise Acreage|Dämmerhöhenacker
Winter's Landing|Wintersmünde
Sina's Yearning|Sinas Sehnsucht
Junction|Kreuzung
Bleak Sand|Trübsand
Lorel's Crossing|Lorels Kreuzung
Dev Map - Exile's Reach - Tower|Entwicklerkarte - Insel des Verbannten - Turm
Contender's Gate|Rivalentor
Shadowgrove Vineyards|Schattenhainweingut
Arlithrien Lodge|Hütte von Arlithrien
Twilight Watchtower|Zwielichtswachturm
Dawning Watchtower|Morgenrötenwachturm
Evenfall Watchtower|Abenddämmerungswachturm
Terrace of the Moon|Die Terrasse des Mondes
Awakening The Machine|Erweckung der Maschine
The Silver Feather|Die Silberne Feder
Keen-Edge Hall|Scharfschneidenhalle
Crafter's Gallery|Handwerkergalerie
Turn of the Tide|Macht der Fluten
Gloomcrag Bower|Düsterfelsenlaube
Awakening Machine|Erweckungsmaschine
Firewall of Negation|Feuerwand der Negation
Processing Unit|Verarbeitungseinheit
Annihilation Interface|Schnittstelle der Vernichtung
Azerothian Archives|Archive von Azeroth
The Harrowing Depths|Der Schüttergrund
Salien Gutters|Salinengossen
The Shredded Strands|Die Gerissenen Stränge
Echoing Overlook|Hallender Ausblick
The Undercache|Der Tiefenspeicher
The Meadyard|Der Methof
Coldshadow Cave|Kaltschattenhöhle
Isaec's Folly|Isaecs Torheit
Botanist's Terrace|Botanikerterrasse
Shadowvein Power Station|Schattenaderenergiekammer
Shadowvein Mine|Schattenadermine
Deepforge Manufacturing Bay|Fertigungshalle der Tiefenschmiede
Councilward's Rise|Anhöhe des Ratsvorstehers
Eversong Woods|Immersangwald
Restless Estuary|Rastlose Mündung
Sanguine Grasps|Blutige Umarmung
Crossroads Plaza|Kreuzwegplatz
Fortune's Fall|Schicksalssturz
The Fissure|Der Spalt
Stoneward's Rise|Steinwallanhöhe
Oath Gate|Schwurtor
Stoneshaper's Atrium|Atrium der Steinformer
Thraegar Rest|Ruhe der Thraegar
Growling Hollow|Grollwinkel
The Rookery Landing|Brutstättenlandeplatz
Delver's Headquarters|Tiefenforscherhauptquartier
Old Sacrificial Pit|Alte Opfergrube
Cage of Carnage|Käfig des Gemetzels
Morgaen's Tears|Morgaens Tränen
The Flaming Taps|Die flammenden Hähne
The Stills|Die Brennerei
The Buzz Barns|Die Schwirrscheunen
The BEE.E.O. Suite|Die BIEN.E.O.-Suite
Shimmermist Falls|Schimmernebelfälle
The Hanging Gateway|Das Hängende Portal
Tailgate Park|Hintertürpark
Hovel Hill|Bruchbudenhügel
The Vatworks|Bottichwerke
The Gallagio|Das Garbagio
Ancient Falls|Uralte Fälle
Candleslag Quarry|Kerzenschlackensteinbruch
Discordant Sieve|Disharmonisches Sieb
Sundered's Crucible|Tiegel der Zersplitterten
Wanderer's Landing|Wanderermünde
Gemvein Tunnels|Edelsteinadertunnel
Nerub-ar Gatehouse|Torhaus der Nerub'ar
Grand Rampart|Großes Bollwerk
The Pulsing Pit|Die Gärende Grube
The Congealing Pool|Das Erstarrende Becken
The Ascending Reach|Die Aufsteigenden Weiten
Terrace of Majesty|Die Terrasse der Majestät
Kili-zar Arena|Kili-zar-Arena
The Swaying Span|Die Schwankende Spanne
The Narthex|Der Narthex
Skittering Cavern|Krabblerkaverne
Brood Pens|Brutgehege
Gossamer Gallery|Gespinstgalerie
Hall of Whispers|Die Halle des Geflüsters
Silken Court|Seidenhof
Crown of Shadows|Krone der Schatten
Analysis Interface|Analyseschnittstelle
Bulwark of Authorization|Bollwerk der Autorisierung
Procedural Forum|Prozedurales Forum
The Archive|Das Archiv
Cosmic Horizon|Kosmischer Horizont
Equinox Reach|Insel des Äquinoktiums
Whispering Pool|Flüsternder Teich
Sunrise Shadow|Sonnenaufgangsschatten
Sunken Shield|Versunkener Schild
Warband Camp|Kriegsmeutenlager
The Incontinental Hotel|Hotel Inkontinental
Kaja'Coast|Kaja'Küste
Keeper's Breath|Odem des Hüters
Untamed Valley|Ungezähmtes Tal
Operation: Floodgate|Operation: Schleuse
Rock Bottom Inn|Gasthaus Steinalt
Port Authority|Hafenbehörde
Venture Plaza|Venturerondell
Steamwheedle Laboratories|Dampfdrucklabore
The Scrapshop|Der Schrottladen
Voidstorm|Leerensturm
Sanctified Grounds|Gesegneter Boden
Blackwater Marina|Marina der Schwarzmeer AG
Demolition Dome|Demolierungskuppel
Public Parking|Öffentlicher Parkplatz
Pleasant Heights|Angenehme Anhöhe
Slam Central Station|Bahnhof Schmetterzentrale
Castaway Cove|Schiffbruchbucht
Emerald Hills Golf Course|Golfplatz Smaragdhügel
Bilgewater Flats|Bilgewasserapartments
Harandar Dev Land|Harandar - Dev Land
Laboratory of the Grand Splicer|Laboratorium der großen Verbinderin
Deepwalker Pass|Pass der Tiefenläufer
Pocket Dimension|Taschendimension
Silkwood Grotto|Seidenwaldgrotte
The Royal Apothecary|Das königliche Apothekarium
Lucky Break Mines|Glücksmomentminen
The Verdant Gutters|Die Grünen Gossen
The Writhing Fields|Die Zuckenden Felder
Plunder Party|Der Beuteball
Liberation of Undermine|Befreiung von Lorenhall
Gutterside Rocket Station|Raketenstation Gossengefilde
Razorwind Shores|Klingenschluchtküste
Sanity's Rest|Grab der Vernunft
Venturewood|Venturemühle
Gutterville|Gossenheim
The Squandered Retreat|Der Verpasste Rückzug
The Hoardroom|Der Hortraum
Flotsam Shoal|Treibgutbank
Jetsam Drift|Strandgutströmung
Stormtide Dregs|Sturmflutsatz
Deadfin Mire|Totfinnenmorast
Ghoststone Diggings|Geistersteingrabung
Shipping and Handling|Versand und Logistik
Housing NPC Prototype Neighborhood|Prototypnachbarschaft mit NSCs
Airship Supply Depot|Luftschiffvorratslager
The Incontinental Lobby|Foyer des Hotels Inkontinental
Hosaas' Rest|Hosaas Rast
The Moneymaker|Die Gelddruckerei
Shuddering Hollow|Schauderhöhle
The Drowned Lair|Der Versunkene Hort
Ruins of Yaathron|Die Ruinen von Yaathron
The Atrium|Das Atrium
Eco-Dome: Primus|Die Biokuppel: Primus
The Oasis|Die Oase
North Sufaad|Nordsufaad
The Tempest Fields|Die Sturmfelder
Eco-Dome: Rhovan|Die Biokuppel: Rhovan
Scrapdrift Sands|Die Treibschrottsande
The Merciless Wastes|Die Gnadenlose Ödnis
Fracture of Laacuna|Laacunas Bruch
Tempest Tract|Der Gewittertrakt
Shadow Point|Der Schattenpunkt
Serrated Peaks|Die Gezackten Gipfel
Overlook Zo'Shuul|Die Zo'Shuulwarte
Lunnall River|Der Lunnallfluß
The Forgotten Vault|Die Vergessene Kammer
Excavation Site 9|Ausgrabungsstätte 9
Research and Destruction|Forschung und Zerstörung
The House of Chrome|Das Haus des Chroms
The Sacred Hollow|Die Heilige Höhle
Hozen's Paw|Pranke des Ho-zen
The Grudge Pit|Die Grollgrube
The Cradle|Die Wiege
Amirdrassil Roots|Amirdrassils Wurzeln
Nordrassil Roots|Nordrassils Wurzeln
Blooming Lattice|Blühendes Geflecht
Fungal Cleft|Funguskluft
Teldrassil Roots|Teldrassils Wurzeln
Shrine of Ages|Schrein der Zeitalter
Den of Echoes|Bau der Echos
Fungara Village|Fungara
The Blinding Bloom|Die Blendende Blüte
The Tangleknot|Der Wirrknoten
Gloom Mire|Dunkelmorast
Vale of Mists|Tal der Nebel
Blossoming Terrace|Blühende Terrasse
Spirit Scarred Cave|Geisternarbenhöhle
Bilge Rat Corsair|Bilgerattenkorsar
Oztan Isle|Oztaninsel
Tempest's Crest|Gewitterkamm
Rotting Hole|Das Verrottende Loch
The Ingress|Der Ingress
Locus Point|Locuspunkt
The Howling Ridge|Heulender Grat
Nexus-Point Antius|Nexuspunkt Antius
Shadowguard Point|Schattenwachtspitze
Nexus-Point Xenas|Nexuspunkt Xenas
Nexus-Point Mid'Ar|Nexuspunkt Mid'ar
Stormarion Keep|Sturmarionfeste
Obscurion Citadel|Obskurionzitadelle
Masters' Perch|Hort der Meister
Slayer's Rise|Schlächteranhöhe
The Voidspire|Die Leerenspitze
The Approach|Der Zugang
Ethereum Refinery|Astraleumraffinerie
Storm Fields|Sturmfelder
The Molt|Tal der Transformation
The Bladeburrows|Die Klingenhöhlen
Den of Predaxas|Bau von Predaxas
Ethereum Overcroft|Hochplateau des Astraleums
Grief Spire|Kummerspitze
Hate Spire|Hassspitze
Voidscar Arena|Die Arena der Leerennarbe
Path of Predation|Pfad der Prädation
The Bloodplains|Die Blutebenen
Stareater Pavilion|Sternenfresserpavillon
Shattersky Pavilion|Himmelsbrecherpavillon
Lordaeron Garrison|Die Garnison von Lordaeron
Sidestreet Sluice|Seitenstraßenschleuse
Lightbloom Ath'Ran|Lichtblüte Ath'ran
Khiyed Ruins|Die Ruinen von Khiyed
Suncrown Tree|Der Sonnenkuppenbaum
Lightbloom Lash'Ra|Lichtblüte Lash'ra
Ruins of Deatholme|Ruinen der Todesfestung
Hollow Grove|Hohlhain
Daggerspine Landing|Säbelflossenlandung
Daggerspine Point|Säbelflossenspitze
Scintilas Falls|Szintilasfälle
Brightwing Estate|Wolkenglanzanwesen
Farstrider Hold|Festung der Weltenwanderer
Fallen Tree (use Tor'watha)|Umgestürzter Baum
Sunset Strand|Abendrotufer
Path of Dawn|Pfad der Dämmerung
The Bazaar|Der Basar
Vanquisher's Wake|Die Schneise des Bezwingers
Murder Row|Mördergasse
Walk of Elders|Straße der Urahnen
The Royal Exchange|Der Königliche Markt
Court of Blood|Hof des Blutes
Farstrider Square|Platz der Weltenwanderer
Dastardly Duos|Durchtriebene Duos
Augurs' Terrace|Terrasse der Auguren
Lithiel's Landing|Lithiels Landung
Thalassian University|Thalassische Universität
Gardens of Remembrance|Gärten der Erinnerung
Sunwing Rookery|Sonnenschwingenhorst
Silvermoon Harbor|Hafen von Silbermond
The Shining Span|Die Leuchtende Spanne
Pridetalon Hotsprings|Stolzkrallenthermalquellen
Delve Prototype|Der Tiefenprototyp
Eco-Dome Al'dani|Die Biokuppel Al'dani
Founder's Point|Gründerspitze
The Heartbreak Room|Der Herzschmerzraum
The Tower of Spades|Der Pikturm
The High Roller Suite|Die Glücksrollersuite
The Shooting Gallery|Die Schießbude
The Midnight Lounge|Der Mitternachtssalon
The Golden Cabana|Die Goldene Cabana
Manaforge Omega|Die Manaschmiede Omega
The Illicit Rain|Schwarzschauer
Amani'Zar Village|Amani'zar
Temple of Akil'zon|Der Tempel von Akil'zon
Temple of Jan'alai|Der Tempel von Jan'alai
Temple of Halazzi|Der Tempel von Halazzi
Akil'zon's Reach|Weiten von Akil'zon
Spiritpaw Borough|Gemeinde der Geisterpfoten
Nalorakk's Prowl|Nalorakks Pirsch
Spiritpaw Backwoods|Hinterwald der Geisterpfoten
Speaker's Rest|Rednerruh
Broken Throne|Der Zerschlagene Thron
Revantusk Sedge|Die Bruchhauersegge
Funerary Coast|Begräbnisküste
Leech Bog|Egelsumpf
Shrine of Kulzi|Schrein von Kulzi
Maisara Deeps|Maisaratiefen
Zeb'Alar Lumberyard|Holzlager Zeb'Alar
Bitterbark|Bitterborke
Witherbark Bluffs|Klippen der Bleichborken
Camp Stonewash|Reinsteinlager
Shrine of Filo|Der Schrein von Filo
The Fangfall|Fangzahnfall
Bastion of Might|Bastion der Macht
Shenzar Refinery|Shenzarraffinerie
The Husk|Die Hülse
Sparring Grounds|Übungsgelände
Hanaar Outpost|Außenposten Hanaar
Shadowridge Outpost|Schattenkammaußenposten
Bastion of Valor|Bastion der Tapferkeit
Cragthorn Highlands|Felsdornhochland
Runetotem's Bounty|Runentotemfülle
Saltfang Shoals|Salzzahnuntiefen
Shadow Point: Darkmend|Der Schattenpunkt: Dunkelheil
Shadow Point: Torment|Der Schattenpunkt: Qual
Shadow Point: Apotheosis|Der Schattenpunkt: Apotheose
Shatter Gorge|Die Trümmerschlucht
Duskglow Gloriette|Dämmerglühgloriette
Sunstrider Rise|Sonnenwandereranhöhe
Home Interior|Innenbereich
Magister Academy|Magisterakademie
Zeb'tela Ruins|Ruinen von Zeb'tela
Silver Landing|Silberhafen
The Thalassian Strait|Der Thalassische Sund
Scintilas Outpost|Außenposten Szintilas
The Dark Heart|Das Dunkle Herz
Gnawing Reach|Die Nagende Senke
Watha'nan Crypts|Gruften von Watha'nan
Vale of Secrets|Tal der Geheimnisse
Shrouded Grove|Verhüllter Hain
Veilroot Clearing|Schleierwurzellichtung
Verdant Sepulcher|Tiefgrünes Grabmal
Zul'Aman Depths|Tiefen von Zul'Aman
Tranquil Repose|Ruhende Rast
Numazon Crypts|Numazongruften
Sunfeather Point|Sonnenfederpunkt
Sunwell Ramparts|Schutzwall des Sonnenbrunnens
Sunfury Spire|Sonnenzornturm
The Forge Core|Der Schmiedekern
The Blinding Vale|Das blendende Tal
Grasping Reach|Greifende Gefilde
Underground Burrows|Unterirdische Höhlen
Solemn Valley|Solenne Senke
Den of Nalorakk|Nalorakks Bau
Loaknit Den|Loagewirkter Bau
Brumewood Hollow|Nebelwaldsenke
Gilded Oaks|Goldene Eichen
The Outer Banks|Das äußere Ufer
Strait of Hexx'alor|Straße von Hexx'alor
The Skybridge|Die Himmelsbrücke
Talonstrike Terrace|Krallenschlagterrasse
Swiftclaw Terrace|Flinkklauenterrasse
Ragemaw Terrace|Zornschlundterrasse
Firewing Terrace|Feuerschwingenterrasse
Warlord's Stair|Treppe des Kriegsfürsten
The Foraging|Die Vorratssuche
The Storm Approaches|Der Sturm naht
Enduring Winter|Anhaltender Winter
Golden Boughs|Goldgeäst
Maisara Caverns|Maisarakavernen
Glimmering Cataract|Glimmernder Katarakt
Ahl'ua Wetland|Sumpfland von Ahl'ua
Shadebasin Watch|Schattenbeckenwacht
Breached Dome|Der Gebrochene Dom
Devastated Annex|Der Verwüstete Anbau
Warcamp Al'den|Das Kriegslager Al'den
Al'dani Sands|Die Sande von Al'dani
Silverglade Refuge|Silberwiesenzuflucht
Archival Assault|Der Archivangriff
Arathi Highlands RPE|Arathihochland RPE
Exiles' Hovel|Hütte der Exilanten
Pit of Spite|Grube der Bosheit
Stormarion Citadel|Sturmarionzitadelle
Stormarion Watch|Sturmarionwacht
Night Trench|Nachtgraben
Glade of Walking Memories|Lichtung der wandelnden Erinnerungen
Voidscar Cavern|Die Leerennarbenhöhle
Dreth'amar Cavern|Höhle Dreth'amar
The Darkwell|Der Düsterbrunnen
The Shadow Cleft|Die Schattenkluft
Stillroot Basin|Immerwurzelbecken
The Dreamrift|Der Traumriss
Lair of Predaxas|Unterschlupf von Predaxas
Solaarian Sunbath|Solaariansonnenbad
Voidrazor Sanctuary|Das Leerenmesserrefugium
Floaret Grotto|Loablümchengrotte
Collegiate Calamity|Akademischer Aufruhr
Magisters' Park|Park der Magister
Vault of the Incarnates (V2)|Gewölbe der Inkarnationen (V2)
Western Sungrove|Westlicher Sonnenhain
Twilight Crypts|Gruften der Zwielichtklinge
Wit'Kalar Crypt|Gruft Wit'Kalar
Miststone Wells|Nebelsteinquellen
Temple of the Untamed|Der Tempel der Ungezähmten
Wastes of K'aresh|Die Ödnis von K'aresh
The Glassed Expanse|Die Verglaste Weite
Corespark Engineway|Der Kernfunkenmaschinenweg
Core Defense Nullward|Kernverteidigung Nullbereich
The Nexus Core|Der Kern des Nexus
Abundant Voidburrow|Opulenter Leerenbau
Encroaching Bloom|Aufziehende Blüte
Nai'theren Grotto|Grotte Nai'theren
Torntusk Overlook|Warte der Stumpfhauer
Town Center|Ortsmitte
The Common|Der Anger
Sunkiller Sanctum|Sonnentötersanktum
The Shadow Enclave|Die Schattenenklave
The Gulf of Memory|Die Kluft der Erinnerung
Torment's Rise|Anhöhe der Qual
The Stump|Der Stumpf
Shadow Rise|Schattenanhöhe
Hall of Blood|Die Halle des Blutes
Sunwing Sundries|Sonnenschwingenallerlei
Astalor's Sanctum|Astalors Sanktum
Dreamer's Passage|Die Passage des Träumers
The Heart of Rage|Das Herz des Zorns
The Darkway|Der Düsterweg
Wayfarer's Rest|Wanderers Ruh'
Den of Indulgence|Der Lasterwinkel
Overrun Hollow|Das überwucherte Tal
Wailing Depths|Klagende Tiefen
Umbral Atrium|Das Umbralatrium
Altar of Malacrass|Der Altar von Malacrass
Silvermoon Pet Shop|Haustierladen von Silbermond
Four Sisters|Vier Schwestern
Ragewater Springs|Zornwasserquellen
Scorchsong Isle|Sengliedinsel
Faldir's Torch|Faldirs Fackel
Morgan's Rest|Morgans Rast
Breakwater Bight|Wellenbrecherbucht
Hermit's Mooring|Die Anlegestelle des Einsiedlers
Thresh Cove|Die Dreschbucht
Ritual Site Outskirts|Außenbereich der Ritualstätte
Sunstrider Corsair|Der Sonnenwandererkorsar
Har'alnor Den|Bau in Har'alnor
Derelict Legion Vessel|Das verfallene Legionsschiff
The Bloom|Die Blüte
Court of the Phoenix|Der Hof des Phönix
Ritual Site|Ritualstätte
The Luminous Garden|Der leuchtende Garten
The Gilded Tangle|Das Vergoldete Dickicht
Warden's Retreat|Die Wächterzuflucht
Conviction's Crucible|Der Schmelztiegel der Überzeugung
The Gorging Pit|Die Schlemmergrube
Sanctuary of the Mind-Seekers|Das Refugium der Gedankensucher
Stoneveil Ridge|Der Felsschleierkamm
Devouring Stronghold|Die Verschlingende Feste
Behemoth's Rise|Die Anhöhe des Ungetüms
The Riftlabs|Die Risslabore
Crown of the Cosmos|Die Krone des Kosmos
Tomb of Mun'jin|Das Grab Mun'jins
Dusk's Repose|Zur Abenddämmerung
Retribution Hold|Festung der Vergeltung
Mettle's Hold|Festung des Eifers
Quiet Cavern|Die Stille Höhle
Consumptor Cave|Die Vertilgerhöhle
Razorwind Camp|Klingenschluchtlager
Founders Point Camp|Lager der Gründerspitze
Den of the Undreamt|Der Hort des Ungeträumten
Priest|Priester
Death Knight|Todesritter
Mage|Magier
Warlock|Verlassenen
Monk|Huojin
Demon Hunter|Dämonenjäger
Evoker|Rufer
Adventurer|Abenteurer
Traveler|Reisender
Human|Mensch
Night Elf|Nachtelf
Undead|Untoter
Blood Elf|Blutelf
Fel Orc|Höllenorc
Broken|Defekter
Skeleton|Skelett
Forest Troll|Waldtroll
Northrend Skeleton|Nordendskelett
Ice Troll|Eistroll
Gilnean|Gilnearischer
Highmountain Tauren|Hochbergtauren
Void Elf|Leerenelf
Lightforged Draenei|Lichtgeschmiedeter Draenei
Zandalari Troll|Zandalaritroll
Kul Tiran|Kul Tiraner
Dark Iron Dwarf|Dunkeleisenzwerg
Mag'har Orc|Mag'har
Highland Drake|Hochlanddrache
Renewed Proto-Drake|Erneuerter Protodrache
Winding Slitherdrake|Schlängelnder Kriecherdrache
Cliffside Wylderdrake|Klippenwilddrache
Visage|Antlitz
Windborne Velocidrake|Windgeborener Velocidrache
Grotto Netherwing Drake|Grottendrache der Netherschwingen
Algarian Stormrider|Algarischer Sturmreiter
Flourishing Whimsydrake|Blühender Launendrache
Earthen|Geomanten
Delver's Dirigible|Luftschiff des Tiefenforschers
Delver's Gob-Trotter|Gobtrotter des Tiefenforschers
Ethereal Airship|Astrales Luftschiff
Infernal|Höllenbestie
Felhunter|Teufelsjäger
Highlord Bolvar Fordragon|Hochlord Bolvar Fordragon
Succubus|Sukkubus
Rat|Ratte
Moonglade Warden|Aufseher der Mondlichtung
Doomguard|Verdammniswache
Frost Wolf Howler|Frostwolfheuler
Grand Magister Rommath|Großmagister Rommath
Halduron Brightwing|Halduron Wolkenglanz
Kael'thas Sunstrider|Kael'thas Sonnenwanderer
King Varian Wrynn|König Varian Wrynn
Archmage Aethas Sunreaver|Erzmagier Aethas Sonnenhäscher
Garrosh Hellscream|Garrosh Höllschrei
Muradin Bronzebeard|Muradin Bronzebart
Trade Prince Gallywix|Handelsprinz Gallywix
Genn Greymane|Genn Graumähne
High Tinker Mekkatorque|Hochtüftler Mekkadrill
Orgrimmar Wind Rider|Windreiter von Orgrimmar
Rell Nightwind|Rell Nachtwind
Lorewalker Cho|Lehrensucher Cho
Illidan Stormrage|Illidan Sturmgrimm
Wild Imp|Wildwichtel
Fel Imp|Teufelswichtel
Demonic Gateway|Dämonisches Tor
Ji Firepaw|Ji Feuerpfote
Alliance Banner|Allianzbanner
"Sully ""The Pickle"" McLeary"|"Sully ""Die Gurke"" McLeary"
Beetle|Käfer
The Monkey King|Der Affenkönig
Aysa Cloudsinger|Aysa Wolkensänger
Bandicoon|Beuteldachs
Chen Stormstout|Chen Sturmbräu
Sunwalker Dezco|Sonnenläufer Dezco
Wrathion|Furorion
Sky Admiral Rogers|Himmelsadmiralin Rogers
Nightstalker|Nachtpirscher
Tinkmaster Overspark|Tüftlermeister Oberfunks
Meatball|Fleischklops
Kanrethad Ebonlocke|Kanrethad Schwarzhaupt
Lady Jaina Proudmoore|Lady Jaina Prachtmeer
Baine Bloodhoof|Baine Bluthuf
Tyrande Whisperwind|Tyrande Wisperwind
King Rastakhan|König Rastakhan
Zul the Prophet|Zul der Prophet
Sen'jin Guardian|Wächter von Sen'jin
Sen'jin Watcher|Behüter von Sen'jin
Darkspear Captive|Gefangener der Dunkelspeere
Cloud Serpent|Wolkenschlange
Karabor Defender|Beschützer von Karabor
Frostwolf Warrior|Kriegerin der Frostwölfe
Karabor Citizen|Bürger von Karabor
Delas Moonfang|Delas Mondfang
Cordana Felsong|Cordana Teufelsang
Archmage Khadgar|Erzmagier Khadgar
Frost Wolf|Frostwolf
Bladespire Mauler|Raufer der Speerspießer
Frostwolf Grunt|Grunzer der Frostwölfe
Karabor Elekk|Karaborelekk
Lady Sylvanas Windrunner|Fürstin Sylvanas Windläufer
High Overlord Saurfang|Hochfürst Saurfang
Warsong Ragemonger|Wuttreiber des Kriegshymnenklans
Iron Grunt|Eiserner Grunzer
Kal'gor the Honorable|Kal'gor der Ehrenhafte
Ligra the Unyielding|Ligra die Unbeugsame
Farseer Drek'Thar|Scharfseher Drek'Thar
Wise-ear|Weisohr
Whitefang|Weißzahn
Iron Horde Grunt|Eiserner Grunzer
Kaz the Shrieker|Kaz die Kreischende
Thaelin Darkanvil|Thaelin Schwarzamboss
Auchenai Defender|Beschützer der Auchenai
Grom'kar Grunt|Grunzer der Grom'kar
Vindicator Maraad|Verteidiger Maraad
Hansel Heavyhands|Hansel Bleihand
Warsong Wolf|Wolf des Kriegshymnenklans
Grom'kar Deadeye|Scharfschütze der Grom'kar
Soulbinder Nyami|Seelenbinderin Nyami
Grommash Hellscream|Grommash Höllschrei
Orgrim Doomhammer|Orgrim Schicksalshammer
Blackhand|Schwarzfaust
Rubble Pile|Trümmerhaufen
Ritual Circle|Ritualkreis
Gateway Charge|Portalaufladung
Garona Halforcen|Garona die Halborcin
Draenei Child|Draeneikind
Thisalee Crow|Thisalee Krähe
Shadow Hunter Rala|Schattenjäger Rala
Injured Miner|Verletzte Minenarbeiterin
Skylord Omnuron|Himmelsfürst Omnuron
Darkspear Headhunter|Kopfjäger der Dunkelspeere
Soulbinder Tuulani|Seelenbinderin Tuulani
Kargath Bladefist|Kargath Messerfaust
Battered Frostwolf Prisoner|Misshandelter gefangener Frostwolforc
Draenor Gronn|Draenorgronn
Olin Umberhide|Olin Umberfell
Qiana Moonshadow|Qiana Mondschatten
Beatface|Aufmaul
Magister Serena|Magistra Serena
Kilrogg Deadeye|Kilrogg Totauge
Karabor Peacekeeper|Friedensbewahrer von Karabor
Liberated Frostwolf Prisoner|Befreiter Frostwolfgefangener
Liberated Karabor Prisoner|Befreiter Karaborgefangener
Sira Moonwarden|Sira Mondhüter
Vindicator Yrel|Verteidigerin Yrel
Fort Wrynn Footman|Fußsoldat von Fort Wrynn
Kimzee Pinchwhistle|Kimzee Quetschpfeife
Lantresor of the Blade|Lantresor von der Klinge
Gidwin Goldbraids|Gidwin Goldzopf
Tarenar Sunstrike|Tarenar Sonnenhieb
Grom'kar Captive|Gefangener Kämpfer der Grom'kar
Penny Clobberbottom|Penny Kloppertopp
Grom'kar Bulwark|Schildwache der Grom'kar
Grom'kar Punisher|Bestrafer der Grom'kar
Grom'kar Blademaster|Klingenmeister der Grom'kar
Challenge Post|Herausforderungspfosten
Maximillian of Northshire|Maximillian von Nordhain
Spinning Blade|Wirbelnde Klinge
Dark Ranger Velonara|Dunkle Waldläuferin Velonara
Druid of the Talon|Druide der Kralle
Queen Azshara|Königin Azshara
Malfurion Stormrage|Malfurion Sturmgrimm
Silver Hand Knight|Ritter der Silbernen Hand
