Original|Translated
Southern Barrens|Южные степи
Isle of Conquest|Остров Завоеваний
Stardust Spire|Башня Звездной Пыли
Moonwell of Cleansing|Лунный колодец очищения
Krolg's Hut|Хижина Кролга
Gilneas|Гилнеас
The Skunkworks|Производственный цех
Bolyun's Camp|Лагерь Больюна
House of Edune|Дом Эдьюнов
Wellspring Hovel|Родниковый шалаш
Familiars|Нечистое
Shipwreck Shore|Берег Кораблекрушения
Trial of the Crusader|Испытание крестоносца
Trial of the Champion|Испытание чемпиона
Ban'ethil Barrow Descent|Спуск в обитель Бен'этиль
The Headlands|Каменистый мыс
Keel Harbor|Килевая Гавань
Aderic's Repose|Покой Адерика
Northern Headlands|Северный каменистый мыс
Northgate Woods|Лес Северных врат
The Blackwald|Черная дубрава
Stormglen Village|Грозовой Перевал
Emberstone Mine|Шахта Тлеющего Угля
Galewatch Lighthouse|Штормовой маяк
Emberstone Village|Деревня Тлеющего Угля
Northgate Breach|Пролом Северных врат
The Bite|Укус
Kezan|Кезан
Abyssal Maw|Бездонная пучина
Runeweaver Square|Площадь Руноплета
The Silver Enclave|Серебряный Анклав
Isle of Conquest No Man's Land|Остров Завоеваний нейтральная территория
Hrothgar's Landing|Лагерь Хротгара
Deathspeaker's Watch|Застава Вестника Смерти
Mountainfoot Strip Mine|Карьер у подножья горы
Orgrimmar Rear Gate|Задние врата Оргриммара
Workshop|Мастерская
Quarry|Каменоломня
Docks|Причал
Hangar|Ангар
Refinery|Сигнализация
Horde Keep|Крепость Орды
Alliance Keep|Крепость Альянса
Gilneas City|Гилнеас
Merchant Square|Торговая площадь
Military District|Военный квартал
Greymane Court|Площадь Седогрива
Cathedral Quarter|Соборный квартал
The Sea Reaver's Run|Пролив Грозы Морей
Light's Dawn Cathedral|Собор Рассвета
Stoneward Prison|Каменная тюрьма
Transport: Alliance Gunship|Транспорт: боевой корабль Альянса
Transport: Horde Gunship|Транспорт: боевой корабль Орды
KTC Headquarters|Штаб-квартира ТКК
Kaja'mine|Каджа'митовая шахта
Bilgewater Port|Порт Трюмных Вод
Gallywix's Villa|Вилла Галливикса
First Bank of Kezan|Первый банк Кезана
Drudgetown|Рабочий квартал
The Slick|Нефтяной разлив
Swindle Street|Переулок дельцов
Gilneas (Do Not Reuse)|Гилнеас
Kaja'mite Cavern|Каджа'митовая пещера
Horde Base Camp|Главный лагерь Орды
The Vicious Vale|Гибельная долина
Wild Overlook|Лесной наблюдательный пункт
The Savage Glen|Дикая лощина
Alliance Beachhead|Плацдарм Альянса
Vengeance Wake|Караул Возмездия
Duskhaven|Темная Гавань
Stagecoach Crash Site|Место крушения дилижанса
Tempest's Reach|Предел Бури
Northgate River|Река Северных врат
Hailwood Marsh|Хейлвудская трясина
Allen Farmstead|Ферма Аллена
Hammond Farmstead|Ферма Хэммондов
Koroth's Den|Логово Корота
Slitherblade Shore|Берег Скользящего Плавника
Magram Territory|Территория Маграм
Thargad's Camp|Лагерь Таргада
Trial of Fire|Испытание Огнем
Trial of Shadow|Испытание Тьмой
Arcane Pinnacle|Волшебный замок
Draka's Fury|Ярость Дреки
Furien's Post|Пост Фуриена
Cenarion Wildlands|Кенарийские Заросли
Karnum's Glade|Просека Карнума
Wahl Cottage|Домик Валь
Crowley Orchard|Сад Краули
Hayward Fishery|Рыбное хозяйство Хейвардов
The Forge of Souls|Кузня Душ
Queen's Gate|Врата королевы
King's Gate|Врата короля
Pit of Saron|Яма Сарона
Sable Ridge|Черная гряда
Kelp'thar Forest|Лес Келп'тар
Dire Strait|Зловещий пролив
Greymane Manor|Поместье Седогрива
Crowley Stable Grounds|Конюшни Краули
The Ancient Grove|Древняя роща
Halls of Reflection|Залы Отражений
Bilgewater Harbor|Гавань Трюмных Вод
Kajaro Field|Площадка Каджаро
Gallywix Pleasure Palace|Дворец удовольствий Галливикса
Northern Rocketway Exchange|Северная пересадочная станция ракетной дороги
Storm Cliffs|Штормовые утесы
Southern Rocketway Terminus|Южная конечная станция ракетной дороги
The Secret Lab|Секретная лаборатория
Orgrimmar Rocketway Exchange|Оргриммарская пересадочная станция ракетной дороги
Transport: Alliance Gunship (IGB)|Транспорт: боевой корабль Альянса (IGB)
Transport: Horde Gunship (IGB)|Транспорт: боевой корабль Орды (IGB)
Ruins of Nordressa|Руины Нордрессы
Camp Sungraze|Лагерь Солнечного Пастбища
Stonetalon Pass|Тропа Каменного Когтя
Whitebeard's Encampment|Лагерь Белоборода
Gallywix's Yacht|Яхта Галливикса
Fargaze Mesa|Плато Востроглазой
The Pipe|Труба
Tal'doren|Тал'дорен
Livery Outpost|Почтовая станция
Hunter's Hill|Охотничий холм
The Overgrowth|Буйные заросли
Camp Una'fe|Лагерь Уна'фе
Northwatch Hold|Крепость Северной стражи
Teegan's Expedition|Лагерь Тигана
Forward Command|Передовая ставка
Fields of Blood|Кровавые поля
Ruins of Taurajo|Руины Таурахо
The Great Gate|Великие врата
Desolation Hold|Крепость Отчаяния
Fort Triumph|Форт Триумфа
Battlescar|Боевой Шрам
Bael Modan|Бейл Модан
Firestone Point|Кремневый лагерь
Rygna's Lair|Логово Ригны
The Frozen Throne|Ледяной Трон
Overgrown Camp|Заросший лагерь
The Regrowth|Молодой лес
The Frozen Halls|Ледяные залы
Bloodtalon Shore|Берег Кровавого Когтя
Zalazane's Fall|Падение Залазана
Darkspear Training Grounds|Тренировочная площадка Черного Копья
Darkspear Hold|Крепость Черного Копья
Spitescale Cove|Грот Злобной Чешуи
The Bradshaw Mill|Мельница Брэдшоу
Wood's End Cabin|Охотничий домик на краю леса
Landing Site|Место высадки
Town-In-A-Box|Городок-из-табакерки
Bael'dun Keep|Крепость Бейл'дан
Raptor Rise|Утес Ящеров
Scorched Gully|Выгоревший овраг
Darkspear Isle|Остров Черного Копья
Ruins of Vashj'elan|Руины Вайш'элана
Vashj'elan Spawning Pool|Лягушатник Вайш'элана
The Thornsnarl|Шипастая Западня
The Battleboar Pen|Загон боевых вепрей
Thornmantle's Hideout|Логово Терновой Мантии
Marshal's Stand|Застава Маршалла
Mossy Pile|Мшистая горка
The Screaming Reaches|Вопящие плёсы
The Roiling Gardens|Тревожные сады
Oomlot Village|Деревня Умлот
Nightmare Scar|Ров Кошмаров
The Nightmare Scar|Ров Кошмаров
The Frost Queen's Lair|Логово Королевы Льда
Putricide's Laboratory of Alchemical Horrors and Fun|Лаборатория алхимических ужасов и забав
The Sanctum of Blood|Святилище Крови
The Crimson Hall|Багровый зал
Frostmourne|Ледяная Скорбь
Lost Peak|Затерянный пик
Oostan Nord|Устан север
Oostan Sor|Устан юг
Oostan Ost|Устан восток
Oostan|Устан
The Dark Approach|Темный Подступ
Scourgelord's Command|Смотровая площадка
The Shadow Throne|Темный трон
The Hidden Passage|Потайной ход
Lost Caldera|Затерянный кратер
Volcanoth's Lair|Пещера Вулканота
Warchief's Lookout|Дозорный пункт вождя
Spitescale Cavern|Пещера Злобной Чешуи
Tranquil Coast|Тихий берег
Rotbrain Encampment|Лагерь гнилодумов
Calston Estate|Поместье Калстона
Scarlet Palisade|Палисад Алого ордена
Scarlet Encampment|Застава Алого ордена
Death's Watch Waystation|Лагерь стражей смерти
Crusader's Run|Путь Рыцаря
Scarlet Watchtower|Сторожевая башня Алого ордена
Twilight Highlands|Сумеречное нагорье
Sky Falls|Небесный водопад
Gallywix Labor Mine|Исправительная шахта Галливикса
Thunk's Abode|Обитель Тунка
Blackrock Caverns|Пещеры Черной горы
The Fold|Изгиб
Talondeep Pass|Тропа Когтя
Windshear Hold|Крепость Ветрорезов
Webwinder Hollow|Паучья лощина
Ruins of Eldre'thar|Руины Эльдре'тара
The Deep Reaches|Глубокие плёсы
Krom'gar Fortress|Крепость Кром'гар
The Sludgewerks|Илоразработки
Mirkfallon Post|Пост на Мутном озере
Cliffwalker Post|Плато Скалоступов
Thal'darah Overlook|Дозорный холм Тал'дары
Battlescar Valley|Долина Боевого Шрама
Farwatcher's Glen|Плато наблюдателей
Northwatch Expedition Base Camp|Лагерь экспедиции Северной стражи
Unearthed Grounds|Место раскопок
Windshear Heights|Высота Ветрорезов
Dagger Pass|Перевал Клинка
Thal'darah Grove|Роща Тал'дары
Halls of Origination|Чертоги Созидания
Bael Modan Excavation|Раскопки Бейл Модана
Twinbraid's Patrol|Дозор Двукоссы
Frazzlecraz Motherlode|Шахтерский городок Дранфикса
Spearhead|Острие копья
Bilgewater Lumber Yard|Вырубки картеля
KTC Oil Platform|Нефтяная платформа ТКК
Gallywix Docks|Верфь Галливикса
The Lightless Reaches|Бездна Кромешной Тьмы
The Slave Pits|Ямы рабов
Verdant Highlands|Зеленеющее нагорье
Silver Tide Trench|Котловина Серебряной Волны
Nespirah|Неспира
Glimmerdeep Gorge|Теснина Мерцающих Глубин
Biel'aran Ridge|Гряда Бейл'аран
Ruins of Vashj'ir|Руины Вайш'ира
Quel'Dormir Terrace|Терраса Кель'Дормир
Tranquil Wash|Тихий залив
Legion's Rest|База Легиона
L'ghorek|Л'горек
Thermal Vents|Отдушины
Underlight Canyon|Затемненная впадина
Tenebrous Cavern|Зловещий грот
Darkbreak Cove|Темная пещера
Korthun's End|Край Кортуна
Wolf's Run|Волчья Тропа
Shrine of Goldrinn|Святилище Голдринна
Maw of Lycanthoth|Утроба Ликантота
Southfury Watershed|Разлив Строптивой
The Dranosh'ar Blockade|Застава Дранош'ар
Twilight Crossing|Сумеречный перекресток
The Twilight Gauntlet|Сумеречный ход
The High Road|Верхний путь
Vendetta Point|Лагерь вендетты
The Ruby Sanctum|Рубиновое святилище
Gar'gol's Hovel|Схрон Гар'гола
Grove of Aessina|Роща Эссины
Shrine of Aviana|Святилище Авианы
Broken Commons|Разоренные земли
Darkwhisper Pass|Тропа Зловещего Шепота
The Forge of Supplication|Кузня Мольбы
Seat of the Chosen|Совет Избранных
Doom's Vigil|Застава Судьбы
Gates of Sothann|Врата Созанна
Lightning Ledge|Уступ Молний
Verrall River|Река Вералл
Camp Ataya|Лагерь Атайа
Stonemaul Hold|Крепость Каменного Молота
Throne of the Tides|Трон Приливов
Silver Tide Hollow|Пещера Серебряной Волны
Damplight Cavern|Грот Затуманенного Света
Ruins of Thelserai Temple|Руины храма Телсерай
Shimmering Grotto|Мерцающий грот
Shadebough|Тень Ветвей
New Thalanaar|Новый Таланаар
Westreach Summit|Вершина Западного Предела
The Briny Cutter|Морской Кортик
Blackhorn's Penance|Башня Покаяния Чернорога
The Inferno|Пекло
Leyara's Sorrow|Печаль Лиары
Whistling Grove|Роща Трелей
The Scorched Plain|Выжженная равнина
Ashen Lake|Пепельное озеро
Sanctuary of Malorne|Святилище Малорна
The Flamewake|Негаснущий пожар
The Searing Gateway|Пылающие врата
Rim of the World|Край света
The Emerald Summit|Изумрудная вершина
Dreamer's Rest|Покои Дремлющего
The Shimmering Deep|Мерцающие глубины
Rustmaul Dive Site|Бассейн Ржавой Кувалды
Splithoof Heights|Утес Треснувшего Копыта
Southsea Holdfast|Укрепление Южных Морей
The Admiral's Den|Укрытие адмирала
Shallow's End|Конец отмели
Twin Peaks|Два Пика
Hyjal Barrow Dens|Кельи Хиджала
Twilight Command Post|Командный лагерь Сумеречного Молота
Uldum|Ульдумская
The Vortex Pinnacle|Вершина Смерча
Darkmist Ruins|Руины Мглистой пещеры
Lake Edunel|Озеро Эдунель
Sulfuron Spire|Шпиль Сульфурона
The Throne of Flame|Трон Пламени
Fizzle & Pozzik's Speedbarge|Гоночная баржа Пшикса и Поззика
Deepholm|Подземный
The Tainted Forest|Проклятый лес
Ascendant's Rise|Вершина Перерожденых
Mirage Abyss|Бездна миражей
Abyssal Breach|Обрыв над бездной
Raceway Ruins|Разрушенная гоночная полоса
Speedbarge Bar|Бар гоночной баржи
Seafarer's Tomb|Гробница Мореплавателя
Legion's Fate|Судьба Легиона
Gurboggle's Ledge|Шельф Гурбоггла
The Skeletal Reef|Риф Скелетов
Gnaws' Boneyard|Двор Костеглода
The Immortal Coil|Серпантин Бессмертного
Smuggler's Scar|Пещера контрабандистов
Deepmist Grotto|Дымчатый грот
The Clutch|Жемчужная ферма
Steelspark Station|Станция Стализвон
Bootlegger Outpost|Стоянка бутлегеров
Dunemaul Recruitment Camp|Вербовочный лагерь Песчаного Молота
The Anvil of Flame|Кузня Пламени
Tower of Estulan|Башня Эстулана
Trueshot Point|Лагерь Меткого Выстрела
The Inner Spire|Башня Сульфурона
Pattymack Land|Земли Пэттимака
Budd's Dig|Раскопки Бадда
Gorrok's Lament|Курган Горрока
Feathermoon Stronghold|Крепость Оперенной Луны
Fallowmere Inn|Таверна Чистого Озера
Slabchisel's Survey|Привал Крепкой Стамески
Tirth's Haunt|Откос Тирта
Nethergarde Supply Camps|Лагерь поддержки Гарнизона
Shattershore|Берег Обломков
The Red Reaches|Красные берега
Rockpool Village|Деревня Каменистого Озера
Bloodwash Fighting Pits|Боевые ямы Кровавого Прибоя
Bloodwash Shrine|Святилище Кровавого Прибоя
Bloodwash Cavern|Пещера Кровавого Прибоя
Sunveil Excursion|Экспедиция Солнечного Паруса
Surwich|Сурвич
Maldraz|Малдраз
Dreadmaul Furnace|Горн Молота Ужаса
Sethria's Roost|Гнездо Сетрии
The Stonecore|Каменные Недра
Quel'Dormir Gardens|Сады Кель'Дормир
Nar'shola Terrace|Терраса Нар'шолы
Northwatch Expedition Base Camp Inn|Гостиница экспедиции Северной стражи
Blackwing Descent|Твердыня Крыла Тьмы
Tol Barad|Тол Барад
Frostmane Front|Передовая Мерзлогривов
Frostmane Retreat|Укрытие Мерзлогривов
The Crucible|Зал Испытаний
Promontory Point|Подводный выступ
Deepfin Ridge|Гряда Глубинных Плавников
Nightmare Depths|Глубины Кошмаров
The Scalding Chasm|Жгучий провал
The Undershell|Донный грот
Pincer X2|Хват X2
The Verne|"""Верн"""
Sira'kess Front|Берег Сира'кесс
The Battle for Gilneas (Old City Map)|Битва за Гилнеас (старая карта города)
Bahrum's Post|Лагерь Бахрума
Ironforge Airfield|Аэродром Стальгорна
Nozzlepot's Outpost|Лагерь Котельника
Windshear Valley|Долина Ветрорезов
Galen's Fall|Удел Галена
Quel'Dormir Temple|Храм Кель'Дормир
Seat of Life|Трон Жизни
Seabrush|Донные заросли
Abandoned Reef|Запустелый риф
Dragonmaw Port|Порт Драконьей Пасти
The Krazzworks|Психходельня
Bloodgulch|Кровавое ущелье
The Gullet|Глотка
Highbank|Высокий берег
Firebeard's Patrol|Дозор Огнебородов
Thundermar|Громтар
Kirthaven|Кирт
Shimmering Expanse|Мерцающий простор
Abyssal Depths|Бездонные глубины
Vashj'ir|Вайш'ир
Trade District|Торговый квартал
Old Town|Старый город
Dwarven District|Квартал дворфов
Cathedral Square|Соборная площадь
The Park|Парк
Mage Quarter|Квартал Магов
Vermillion Redoubt|Гранатовый Редут
Cleft of Shadow|Расселина Теней
The Drag|Волок
Valley of Honor|Аллея Чести
Valley of Spirits|Аллея Духов
Valley of Strength|Аллея Силы
Valley of Wisdom|Аллея Мудрости
The Severed Span|Раздробленный надел
Hogger Hill|Холм Дробителя
Goldtooth's Den|Берлога Фикса
Crushcog's Arsenal|Арсенал Шестерямстера
The Toxic Airfield|Зараженный аэродром
The Tidebreaker|"""Рассекающий Волны"""
Voldrin's Hold|"""Крепость Волдрина"""
Stygian Bounty|"""Стигийская Награда"""
Galerek's Remorse|Раскаяние Галерека
The Iron Reaper|"""Железный Жнец"""
The Intrepid|Отважный
The Cape of Stranglethorn|Мыс Тернистой долины
Ahn'Qiraj Terrace|Терраса Ан'Киража
Mortwake's Tower|Башня Мортвейка
The Raging Chasm|Бушующая пропасть
Jagged Wastes|Бугристые пустоши
Scoured Reach|Изъеденный овраг
Crumbling Depths|Гремящие глубины
Shuddering Spires|Дрожащие Вершины
The Pale Roost|Белое гнездовье
Therazane's Throne|Трон Теразан
Halcyon Egress|Предел Безмятежности
Twilight Precipice|Сумеречная пропасть
Lorthuna's Gate|Врата Лортуны
Verlok Stand|Верлок
Grolluk's Grave|Могила Гроллука
Crimson Expanse|Багровый зал
Temple of Earth|Храм Земли
Swiftgear Station|Станция Бынструмента
Greenwarden's Grove|Роща Стража Природы
Hull of the Foebreaker|"Остов ""Крушителя Врагов"""
Transport: Onyxia/Nefarian Elevator|Транспорт: подъемник от Ониксии к Нефариану
Nazj'vel|Назж'вел
Storm's Fury Wreckage|"Место крушения ""Неистовства Бури"""
Stormwind Lake|Озеро Штормграда
Llane's Oath|Присяга Ллейна
Olivia's Pond|Пруд Оливии
Bambala|Бамбала
The Sundering|Разлом
Fort Livingston|Форт Ливингстон
Yowler's Den|Логово Изувоя
Scar of the Worldbreaker|Разлом разрушителя миров
Stormfeather Outpost|Лагерь Грозового Крыла
Shalewind Canyon|Каньон Глинистого Ветра
Keeshan's Post|Лагерь Кишана
Camp Everstill|Лагерь Безмолвия
Tower Watch|Часовая башня
Upper Silvermarsh|Верховье Серебристой топи
Lower Silvermarsh|Низина Серебристой топи
Stonehearth|Каменный очаг
Fractured Front|Разбитая передовая
Orgrimmar Embassy|Посольство союзников Орды
Trial of Frost|Испытание холодом
The Bastion of Twilight|Сумеречный бастион
Quartzite Basin|Кварцитовая впадина
Remains of the Fleet|Остатки Флота
Sanctum of the Prophets|Святилище Прорицателей
Fungal Deep|Грибные Глубины
Stranglethorn Vale|Тернистая долина
Hall of Arms|Оружейная
Hall of Explorers|Зал Исследователей
The Great Forge|Великая Кузня
The Military Ward|Палаты Войны
The Mystic Ward|Палаты Магии
Stormwind City Cemetery|Городское кладбище Штормграда
Render's Crater|Кратер Ренда
Alliance Mercenary Ship to Vashj'ir|Корабль наемников Альянса до Вайш'ира
Needlerock Slag|Шлаковый зал
Needlerock Chasm|Провал Каменных Игл
Ruins of Gilneas City|Гилнеас
Alabaster Shelf|Алебастровый шельф
Verrall Delta|Дельта Вералла
Twilight Overlook|Дозорный холм Сумеречного Молота
Abyssion's Lair|Логово Абиссия
Grommash Hold|Крепость Громмаш
The Quaking Fields|Грот Обвалов
Deathwing's Fall|Кратер Смертокрыла
The Menders' Stead|Участок Целителей Земли
Avalanchion's Vault|Пещера Лавиниона
Forsaken High Command|Ставка Отрекшихся
Blackrock Caverns Entrance|Пещеры Черной горы
Wreckage of the Silver Dawning|"Место крушения ""Серебряной зари"""
The Abyssal Maw|Бездонная пучина
Den of the Devourer|Логово Пожирателя
The Great Divide|Великий Раздел
Forsaken Rear Guard|Арьергард Отрекшихся
The Forsaken Front|Передовая Отрекшихся
Dawnrise Expedition|Экспедиция Восхода Солнца
Tol Barad Peninsula|Полуостров Тол Барад
The Canals|Каналы
Ironwing Cavern|Пещера Стального Крыла
Charred Outpost|Обуглившаяся застава
Masters' Gate|Врата Мастеров
Chamber of Respite|Зал Покоя
Lost City of the Tol'vir|Затерянный город Тол'вир
The Wollerton Stead|Ферма Уоллертона
Stormwind City Outskirts|Окраины Штормграда
Baradin Hold|Крепость Барадин
Slagworks|Шлакозавод
Ironclad Garrison|Железный гарнизон
Warden's Vigil|Пост Стража
East Spire|Восточный шпиль
South Spire|Южный шпиль
West Spire|Западный шпиль
Blackstone Span|Провал черного камня
Explorers' League Digsite|Раскопки Лиги исследователей
The Old Barracks|Старые казармы
Silverlight Cavern|Пещера Серебряного Света
Malicia's Outpost|Застава Коварнессы
The Maelstrom|Водоворот
The Blood Trail|Кровавая тропа
The Gate of Unending Cycles|Врата Бесконечного Цикла
Redpine Dell|Лощина Красной Сосны
Taelan's Tower|Башня Телана
Obelisk of the Stars|Обелиск Звезд
Obsidian Breakers|Обсидиановые рифы
Path of Uther|Путь Утера
Sorrow Hill Crypt|Крипта Холма печали
The Eastern Earthshrine|Восточное святилище Земли
The Western Earthshrine|Западное святилище Земли
Chamber of the Stars|Зал Звезд
Forsaken Forward Command|Передовой отряд Отрекшихся
Ring of the Elements|Круг Стихий
The Maw of Madness|Бездна Безумия
Ruins of Drakgor|Руины Дракгора
Dreadwatch Outpost|Зловещая застава
Rutsak's Guard|Сторожка Рутсака
Glory|Слава
Death's Step|Ступени Смерти
Scarred Terrace|Обрушенная терраса
Light's Shield Tower|Башня Защиты Света
The Battle for Gilneas|Битва за Гилнеас
Waterworks|Водокачка
Mines|Рудник
Horde Landing|Высадка Орды
Gilnean Stronghold|Гилнеасский лагерь
Khartut's Tomb|Гробница Хартута
The Battlefront|Передовая
Bogpaddle|Веслотопь
Marshtide Watch|Застава Болотной Воды
The Bloodmire|Кровавая топь
Dragonmaw Pass|Тропа Драконьей Пасти
Wyrms' Bend|Излучина Змея
Ix'lar's Domain|Владения Икс'лара
Darrowshire Hunting Grounds|Охотничьи угодья Дарроушира
Orsis|Орсис
Ramkahen|Рамкахен
Nahom|Нахом
Gilnean Coast|Побережье Гилнеаса
Siege Vise|Тиски Осады
Victor's Point|Лагерь Победителя
Crushblow|Тукмак
The Twilight Gate|Сумеречные врата
The Twilight Citadel|Сумеречная крепость
Elementium Depths|Элементиевые глубины
Den of the Disciples|Пещера учеников
Pyrewood Chapel|Часовня Погребальных Костров
Pyrewood Inn|Таверна Погребальных Костров
Pyrewood Town Hall|Ратуша Погребальных Костров
Slithering Cove|Скользкая бухта
Gilneas Liberation Front Base Camp|Лагерь фронта освобождения Гилнеаса
7th Legion Base Camp|Лагерь 7-го легиона
Dunwald Ruins|Развалины Дунвальда
Dunwald Holdout|Укрытие Дунвальда
Dunwald Hovel|Склады Дунвальда
Dunwald Town Square|Городская площадь Дунвальда
Dunwald Market Row|Рынок Дунвальда
Gorshak War Camp|Военный лагерь Горшака
The Boneyard|Двор
The Devouring Breach|Пожирающий разлом
Fuselight|Фюзель
Fuselight-by-the-Sea|Фюзель-на-водах
Mar'at|Мар'ат
Akhenet Fields|Поля Акхенет
Ramkahen Legion Outpost|Застава рамкахенов
Shrine of the Elements|Святилище стихий
Thundermar Ruins|Руины Громтара
Altar of Ascension|Алтарь Перерожденных
Lake Dumont|Озеро Дюмон
The Pit of Scales|Ров Чешуи
The Defiled Chapel|Оскверненная часовня
The Cerebrillum|Церебриллий
Sunstone Terrace|Терраса Солнечного Камня
Shadowfang Keep Entrance|Крепость Темного Клыка
Scarlet Monastery Entrance|Монастырь Алого ордена
Scholomance Entrance|Некроситет
Stratholme Entrance|Стратхольм
Stratholme Service Entrance|Стратхольм - черный ход
Blackrock Depths Entrance|Глубины Черной горы
Blackrock Spire Entrance|Пик Черной горы
Blackfathom Deeps Entrance|Непроглядная Пучина
Razorfen Kraul Entrance|Лабиринты Иглошкурых
Rhea's Camp|Лагерь Реа
Maraudon - The Wicked Grotto Entrance|Мародон: Оскверненный грот
Maraudon - Foulspore Cavern Entrance|Мародон: Зловонная пещера
Maraudon - Earth Song Falls Entrance|Мародон: Поющие водопады
Uldaman Entrance|Ульдаман
Bloodwatcher Point|Лагерь Кровавого Взора
Dustwind Dig|Раскопки Пыльного Ветра
Tomb of the Watchers|Гробница Стражей
Crucible of Carnage|Горнило Крови
Dire Maul - Warpwood Quarter Entrance|Забытый город - квартал Криводревов
Dire Maul - Gordok Commons Entrance|Забытый город - палаты Гордока
Dire Maul - Capital Gardens Entrance|Забытый город - центральный сад
Razorfen Downs Entrance|Курганы Иглошкурых
Zul'Farrak Entrance|Вход в Зул'Фаррак
Cape of Lost Hope|Мыс Потерянной Надежды
Wellson Shipyard|Верфь Веллсона
Forgotten Hill|Забытый холм
The Darkwood|Мрачный лес
Rustberg Village|Растберг
Farson Hold|Крепость Фарсона
Largo's Overlook|Дозорный пункт Ларго
Hellfire Citadel - Ramparts Entrance|Цитадель Адского Пламени: бастионы Адского Пламени
The Restless Front|Передовая Неупокоенных
Hellfire Citadel - The Shattered Halls Entrance|Цитадель Адского Пламени: разрушенные залы
Hellfire Citadel - The Blood Furnace Entrance|Цитадель Адского Пламени: Кузня Крови
Baradin Base Camp|Лагерь Барадин
Hellscream's Grasp|Хватка Адского Крика
Auchindoun - Auchenai Crypts Entrance|Аукиндон - вход в Аукенайские гробницы
Auchindoun - Mana-Tombs Entrance|Аукиндон - вход в Гробницы маны
Auchindoun - Sethekk Halls Entrance|Аукиндон - вход в Сетеккские залы
Auchindoun - Shadow Labyrinth Entrance|Аукиндон - вход в Темный лабиринт
Coilfang - The Steamvault Entrance|Кривой Клык: Паровое подземелье
Coilfang - The Underbog Entrance|Кривой Клык: Нижетопь
Coilfang - The Slave Pens Entrance|Кривой Клык: Узилище
Tempest Keep - The Mechanar Entrance|Крепость Бурь: Механар
Tempest Keep - The Botanica Entrance|Крепость Бурь: Ботаника
Tempest Keep - The Arcatraz Entrance|Крепость Бурь: Аркатрац
Magisters' Terrace Entrance|Терраса Магистров
The Escape from Durnholde Entrance|Побег из Дарнхольда
Opening of the Dark Portal Entrance|Открытие Темного портала
The Culling of Stratholme Entrance|Очищение Стратхольма
The Nexus Entrance|Нексус
The Oculus Entrance|Окулус
Loch Verrall|Озеро Лок Вералл
Dragon's Mouth|Драконья Пасть
New Kargath|Новый Каргат
Utgarde Keep Entrance|Крепость Утгард
Utgarde Pinnacle Entrance|Вершина Утгард
Azjol-Nerub Entrance|Вход в Азжол-Неруб
Ahn'kahet: The Old Kingdom Entrance|Ан'кахет: Старое Королевство
Drak'Tharon Keep Entrance|Крепость Драк'Тарон
Violet Hold Entrance|Аметистовая крепость
Gundrak Entrance|Гундрак
Halls of Stone Entrance|Чертоги Камня
Halls of Lightning Entrance|Чертоги Молний
Trial of the Champion Entrance|Испытание чемпиона
The Forge of Souls Entrance|Кузня Душ
Pit of Saron Entrance|Яма Сарона
Halls of Reflection Entrance|Залы Отражений
Throne of the Tides Entrance|Трон Приливов
Grim Batol Entrance|Грим Батол
The Stonecore Entrance|Каменные Недра
The Threshold|Граница
Altar of Twilight|Сумеречный алтарь
Gate of Hamatep|Врата Хаматепа
Vir'naal River|Река Вир'наал
Twilight Aerie|Сумеречное гнездилище
The Twilight Withering|Сумеречная пустошь
Twilight Bulwark|Бастион Сумрака
Sunken Dig Site|Затопленные раскопки
The Hidden Clutch|Потайная кладка
The Nosebleeds|Верхотура
Highland Forest|Лес нагорья
Obsidian Forest|Обсидиановый лес
Cradle of the Ancients|Колыбель Древних
Obelisk of the Sun|Обелиск Солнца
Sunken Temple Entrance|Затонувший храм
Chamber of the Sun|Зал Солнца
Schnottz's Landing|Лагерь Шнотца
Eastpoint Tower|Восточная башня
Sludgeguard Tower|Башня Топей
Shriveled Oasis|Высохший оазис
Ruins of Ammon|Руины Аммона
The Black Breach|Черный разлом
Tomb of the Earthrager|Гробница Ярости Земли
Firebeard Cemetery|Кладбище Огнебородов
The Cursed Landing|Проклятый лагерь
The Steps of Fate|Шаги Судьбы
The Trail of Devastation|Тропа Опустошения
Pyrox Flats|Пироксовые равнины
The Verdant Thicket|Зеленая чаща
The Circle of Cinders|Круг Огней
The Tranquil Grove|Тихая роща
Ruins of Lar'donir|Руины Лар'донира
Shadowlurk Ridge|Гряда Затаившейся Тьмы
Black Drake Roost|Гнездовье черных драконов
Iron Summit|Железная вершина
Thorium Advance|Передовая Братства Тория
Oasis of the Fallen Prophet|Оазис павшего пророка
The Trapper's Enclave|Владения Зверолова
Terrace of the Augurs|Терраса Авгуров
Sanctum of the South Wind|Святилище Южного Ветра
The Warlord's Garrison|Гарнизон Вождя
Lion's Pride Inn|"Таверна ""Гордость льва"""
Throne of the Four Winds|Трон Четырех Ветров
Glopgut's Hollow|Ложбина клана Помойных Потрохов
Humboldt Conflagration|Пожарище Гумбольдта
The Twilight Breach|Сумеречный разлом
Tahret Grounds|Угодья Тарет
Seal of the Sun King|Печать Солнечного короля
Whisperwind Grove|Роща Шелеста Ветра
Sahket Wastes|Пустоши Сакет
Ruins of Ahmtul|Руины Амтула
Wildheart Point|Лагерь Дикого Сердца
The Whelping Downs|Ясельные холмы
Flamestar Post|Лагерь Пламени Звезд
