Original|Translated
Unseen Marksmen|隱獵神射手
Pathfinders|探路者
Shieldmaiden Warband|女盾侍戰隊
Ashtongue Warriors|灰舌戰士
Naga Myrmidons|納迦部屬
Transformed Illidari Adepts|伊利達瑞魔兵
Ebon Ravagers|黯刃劫毀者
Chief Telemancer Oculeth|首席傳送師歐庫雷斯
Fleet Admiral Tethys|艦隊上將瑟希斯
Master Mathias Shaw|馬迪亞斯‧肖爾大師
Crew of Pirates|一群海盜
Calia Menethil|卡莉雅‧米奈希爾
High Priestess Ishanah|高階祭司依莎娜
Dark Zealots|黑暗狂熱者
Misha|米莎
Kalecgos|卡雷苟斯
Fevered Val'sharah Refugee|發高燒的維爾薩拉難民
Guard|守衛
Dark Ranger|黑暗遊俠
Light's Heart|聖光之心
Defias Thief|迪菲亞竊賊
Tirisgarde Apprentice|提里斯護法學徒
Kirin Tor Invoker|祈倫托塑能師
Priestess of the Moon|月之女祭司
Nightsaber|夜刃豹
The Curator|館長
Khadgar's Upgraded Servant|卡德加升級的僕從
Glaive Thrower|旋刃投擲器
Darnassus Sentinel|達納蘇斯哨兵
First Arcanist Thalyssra|首席秘法師薩莉瑟拉
Andaris Narassin|安妲麗絲‧納拉辛
Vereesa Windrunner|凡蕾莎‧風行者
Johnny Awesome|『棒透了』強尼
Arcanist Valtrois|秘法師薇兒塔
Dancer|舞者
Legion Battleship|燃燒軍團戰艦
Princess Tess Greymane|泰絲‧葛雷邁恩公主
Lord Darius Crowley|達瑞亞斯‧克羅雷領主
Aethas Sunreaver|埃薩‧奪日者
Nighthuntress Syrenne|暗夜女獵手希蕊妮
Aelthalyste|艾薩萊斯特
Magni Bronzebeard|麥格尼‧銅鬚
Brann Bronzebeard|布萊恩‧銅鬚
Shandris Feathermoon|珊蒂斯‧羽月
Commander Jarod Shadowsong|指揮官亞羅德‧影歌
Spell Stalker|法術潛獵者
Nerus Moonfang|奈洛斯‧月牙
Banshee|女妖
Kirin Tor Guardians|祈倫托守護者
Ebon Knight Frostreavers|黯刃騎士霜劫者
7th Legion Shock Force|第七軍團突擊隊
Kor'kron Shock Force|柯爾克隆突擊隊
Chieftain Hatuun|哈圖恩族長
Wondrous Library|奇妙的圖書館
Ban-Lu|班盧
Earthen Ring Protectors|陶土議會保衛者
Hooded Priests|神秘的牧師
Silver Hand Crusaders|白銀之手十字軍
Ravenholdt Assassins|拉文霍德刺客
Masters of Serenity|冰心大師
Princess Talanji|塔蘭姬公主
Invisible Bunny (IGC)|Invisible Bunny（IGC）
Krokul Ridgestalker|克庫山脊行者
High Exarch Turalyon|大主教圖拉揚
Bwonsamdi|伯昂撒姆第
Alleria Windrunner|艾蘭里亞‧風行者
Habutu|哈布圖
Lightforged Beacon|光鑄信標
Taelia|泰莉亞
Flynn Fairwind|弗林‧晴風
Grand Artificer Romuul|大工藝師羅穆爾
Uncrowned Assassin|無冕者刺客
Akunda|亞昆達
Bladeguard Kaja|刃衛卡嘉
Trained Pterrordax|訓練過的翼手龍
Yazma|亞茲瑪
General Jakra'zet|賈克拉傑將軍
Zolani|卓蘭妮
Orgrimmar Raider|奧格瑪狼騎兵
Fallhaven Villager|落港村民
Gonk|剛克
Sludge Guard|淤泥守衛
Kul Tiran Noble|庫爾提拉斯貴族
Darkspear Shaman|暗矛薩滿
Tauren Earthshaker|牛頭人震地者
Wardruid Loti|戰鬥德魯伊蘿蒂
Hexlord Raal|妖術之王拉爾
Irontide Cutthroat|鐵潮殺手
Irontide Brinecaster|鐵潮佈鹽者
Locus-Walker|暗域行者
Pile of Stones|一堆石頭
Pa'ku|帕骷
Siege Monstrosity|攻城巨怪
Akunda the Exalted|崇高的亞昆達
Vulpera Padfoot|狐狸人獸足劫匪
Brinescale Wavecaller|鹽鱗喚浪者
Vulpera Mixologist|狐狸人毒劑師
Cutwater Reaver|分水劫奪者
Blacktooth Brute|黑牙蠻卒
Hir'eek|希爾雷克
Rezan|瑞贊
Vorrik|瓦里克
Captain Fareeya|法芮雅隊長
Patch|派奇
Newt|紐特
Volt|伏特
Grit|葛利特
Ticker|提克爾
Lightsworn Recruit|光誓新兵
Brennadam Citizen|布瑞納丹市民
Forsaken Battleguard|被遺忘者戰衛
Irontide Pillager|鐵潮掠取者
Jaina Proudmoore|珍娜‧普勞德摩爾
"Renzik ""The Shiv"""|『剃刃』雷吉克
Faceless One|無面者
Azerite War Machine|艾澤萊晶岩戰爭機器
Exodar Peacekeeper|艾克索達保安官
Gilnean Mauler|吉爾尼斯重擊者
Expedition Guard|遠征隊守衛
Bridgeport Guard|橋梁港守衛
Riding Raptor|騎乘用迅猛龍
Ornery Battleboar|暴躁的戰鬥野豬
Kelsey Steelspark|凱爾希‧鋼火
Wisp|幽光
7th Legion Marine|第七軍團陸戰隊
7th Legion Rifleman|第七軍團步槍兵
Kul Tiran Rowboat|庫爾提拉斯小艇
Magister Umbric|博學者奧姆里克
Danath Trollbane|達納斯‧托爾貝恩
Overlord Geya'rah|嘉亞拉霸主
Spirit of Vol'jin|沃金的靈魂
Captain Amalia Stone|阿瑪麗亞‧史東隊長
Thomas Zelling|湯瑪斯‧澤靈
Concerned Citizen|憂心的居民
Blood Prince Dreven|血親王德萊芬
Blood Marquis|血腥侯爵
Belysra Starbreeze|貝莉瑟拉‧星風
Master Apothecary Faranell|大藥劑師法拉尼爾
Halford Wyrmbane|海弗德‧龍禍
Pterrordax|翼手龍
Darkspear Hunter|暗矛獵人
Darnassian Archer|達納蘇斯弓箭手
Feral Guardian|野性戰鬥守護者
Shade|暗影
General Rakera|洛琪拉將軍
Horde Berserker|部落狂戰士
Restless Spirit|騷動的靈魂
Varok Saurfang|瓦洛克‧薩魯法爾
Xal'atath|薩拉塔斯
Goblin Gyrocopter|哥布林旋翼機
Derek Proudmoore|德瑞克‧普勞德摩爾
Kul Tiran Marine|庫爾提拉斯陸戰隊
Zandalari Warrior|贊達拉戰士
War Guardian|戰爭守護者
Lost Memory|失去的記憶
Taelia Fordragon|泰莉亞‧弗塔根
Ash'alah|亞許艾拉
Mia Greymane|米雅‧葛雷邁恩
Captain Rupert|魯伯特上尉
Bjorn Stouthands|畢雍‧壯手
Lindie Springstock|林迪‧螺絲庫
Alaria|艾拉莉雅
Austin Huxworth|奧斯汀‧哈克斯沃
Kee-La|基拉
Captain Garrick|蓋瑞克船長
Brinestone Deposit|鹵石礦床
King Mechagon|機械岡國王
Hidden Treasure|秘密寶藏
Harpy Snatcher|鷹身人掠奪者
Archaeo-Tinkologist|考古技工學家
Alliance Warrior|聯盟戰士
Worgen Hunter|狼人獵人
Night Elf Druid|夜精靈德魯伊
Snowball|雪球
Vesiphone|維希芬妮
Cork Fizzlepop|寇爾克‧嘶爆
Henry Garrick|亨利‧蓋瑞克
Prince Erazmin|伊拉敏王子
Merithra of the Dream|『夢境之龍』麥琳瑟拉
Alexstrasza the Life-Binder|『生命守縛者』雅立史卓莎
Fire Elemental|火元素
Nozdormu|諾茲多姆
Neltharion|奈薩里奧
Nightborne Arcanist|夜裔秘法師
Xandria|珊卓亞
Thenios|薩尼歐斯
General Draven|德瑞文將軍
General Kaal|凱厄將軍
Rendle|倫德
Cudgelface|棍臉
Mechanocat|機甲大貓
Xiwyllag ATV|賽威拉格全地形載具
Quartermaster Richter|軍需官里赫特
Winter Queen|凜冬女王
Sire Denathrius|戴納瑟斯王
Ralia Dreamchaser|萊莉亞‧追夢者
Onlooker|旁觀者
Zekhan|澤坎
Prince Renathal|雷納瑟王子
Soul Scythe|靈魂鐮刀
Mushroom Network|蘑菇網路
Margrave Gharmal|藩侯珈爾瑪
Margrave Sin'dane|藩侯辛丹
Baroness Draka|德拉卡女爵
The Accuser|控罪者
Theotar|希奧塔
Baron Vyraz|維拉斯男爵
Baron Halis|哈理斯男爵
Lord Herne|赫恩勛爵
Eridia|伊芮迪雅
Kynthia|琴西亞
Polemarch Adrestes|軍政官阿德雷特斯
Salgin|莎爾金
Mikanikos|米卡尼寇斯
Audience Member|觀眾
The Stonewright|石鑄宗匠
Sika|西卡
Lady Moonberry|月莓女士
Alexandros Mograine|亞歷山卓斯‧莫格萊尼
Nadjia the Mistblade|『霧刃』娜迪亞
Hand of Vashj|瓦許之手
Baroness Vashj|瓦許女爵
Mephiles the Loyal|『忠誠者』梅菲里斯
Dreamweaver|織夢者
Niya|妮亞
Hunt-Captain Korayn|狩獵隊長克芮恩
Clora|可蘿拉
The Jailer|閻獄之主
Emeni|艾曼妮
Khaliiq|卡莉克
Bron|布隆
Tactician Sakaa|謀士莎卡
Night Elf Soul|夜精靈靈魂
Plague Deviser Marileth|瘟疫設計者瑪利雷斯
Prime Shieldguard|至高盾衛
Heartwood Grove Evacuee|心木林地疏散者
Bonesmith Heirmir|骸骨工匠黑彌爾
Runecarver|符刻師
Doomed Soul|悲慘的靈魂
The Countess|女伯爵
Kleia|克蕾雅
Tal-Inara|塔因納拉
Overseer Kah-Sher|監督者卡薛爾
Pelagos|佩拉苟斯
Ambitious Aspirant|雄心勃勃的志士
Uther|烏瑟
Apolon|阿波隆
Venerable Denizen|可敬的居民
Ardent Loyalist|狂熱的忠誠派汎希爾
Sinfall Flyer|罪殞城飛蝠
Ara'lon|亞拉隆
Stoneborn Legionnaire|石源魔軍團士兵
Secutor Mevix|武鬥士梅維斯
Rescued Worshipper|獲救的信徒
Kyrian Ascendant|琪瑞安晉升者
Spell Target|法術目標
Prime Bladeguard|至高刃衛
Good Memory|美好的回憶
Chelra the Bladewall|『刃牆』雪拉
Tranquil Soul|平靜的靈魂
Dredger Butler|泥掘者男管家
Sylvanas Windrunner|希瓦娜斯‧風行者
Eye of the Jailer|獄主之眼
Valiant Protector|英勇保衛者
Prime Gatecrasher|至高碎門者
Tal-Galan|塔迦蘭
Stoneborn Guardian|石源魔守護者
Enlightened Pilgrim|受啟迪的朝聖者
Mal'Ganis|瑪爾加尼斯
Dreadlord Infiltrator|驚懼領主滲透者
The Primus|統御者
Ve'nari|維娜里
Firim|法琳
Kyrian Avenger|琪瑞安復仇者
Mawsworn Warden|淵誓看守者
Sly|狡狐
Pandi|潘迪
Kodethi|寇德西
Scalecommander Emberthal|龍隊指揮官安珀莎
Scalecommander Cindrethresh|龍隊指揮官辛德瑞翠絲
Scalecommander Azurathel|龍隊指揮官埃祖拉瑟
Dance Enthusiast|熱舞粉絲
Sansok Khan|桑索克可汗
Kurog Grimtotem|庫洛格‧恐怖圖騰
Dervishian|德維希安
E'rnee|艾爾尼
Raszageth|菈薩葛絲
Scalecommander Sarkareth|龍隊指揮官沙卡瑞斯
Ring|環
Winged Soul Eater|飛翼噬魂者
Obsidian Warder|黑曜衛隊
Dark Talon|黑爪兵團
Pocopoc|波克波可
Siaszerathel|西雅澤拉瑟
Alliance Footsoldier|聯盟步行兵
Horde Footsoldier|部落步行兵
Murloc You|魚人版的你
Andantenormu|安但丁諾穆
Scalecommander Viridia|龍隊指揮官維利迪亞
Background|背景
Sindragosa|辛德拉苟莎
Naleidea Rivergleam|娜蕾迪亞‧河光
Deathstalker Commander Belmont|亡靈哨兵指揮官貝爾蒙特
Scout Tomul|斥候托姆爾
Okir|歐奇爾
Brena|布蕾娜
Norukk|諾魯克
Hanu|哈努
Windscourge Drake|風禍元龍
Brackenhide Putrifier|蕨皮腐爛者
Eternus|伊特努斯
Iskaara Fisher|伊斯凱拉漁夫
Majordomo Selistra|管理者瑟利思特拉
Toddy Whiskers|多蒂‧鬍鬚
Bubbled Duckling|被泡泡困住的小鴨子
Evorian|伊沃瑞安
Merithra|麥琳瑟拉
Race Controller|競速控制器
Boost|加速
Energy|能量
Kirin Tor Mage|祈倫托法師
Narsysix|納西席克斯
Zepharion|瑟法利安
Baskilan|巴斯奇連
Khanam Matra Sarest|大可汗瑪托拉‧薩列斯
Atrenosh Hailstone|艾崔諾絮‧冰雹
Blue Dragon|藍龍
Winds of the Isles|群島之風
Finduin Wryngrrlgulgll|鰭杜因‧烏嗄咕喀
Sabellian|賽柏利安
Gerithus|蓋瑞瑟斯
Proto-Drake|元龍
Dragon Glyph|龍之雕紋
Tuskarr Child|巨牙海民孩童
Somnikus|索姆尼克斯
Sendrax|仙卓克絲
Cavalier Drakerider|高傲的飛龍騎兵
Stout Riding Bakar|結實的騎乘巴卡犬
Voraxian|沃拉西安
Emerald Dragon|翡翠龍
Fyrakk|菲拉卡
Tracker Dragon Glyph|追蹤龍之雕紋
Talon Damos|爪兵戴莫斯
Winglord Dezran|飛翼長德茲嵐
Azuregos|艾索雷苟斯
Haleh|哈爾琳
Surigosa|蘇莉苟莎
Zaqali Berserker|薩克利狂戰士
Spellsworn Crechebound|育縛誓法者
Disruptive Arcana|干擾秘能
Vortex|漩渦
Wildfire|野火
Tremblor|地動者
Flow|奔流
Lysander Starshade|萊杉德‧星影
Emberthal|安珀莎
Primalist Portal|洪荒使者傳送門
Igira|伊吉拉
Time Rift|時間裂隙
Vyranoth|維蘭諾斯
Curious Whelpling|好奇的幼龍
Katy Stampwhistle|凱蒂‧郵哨
Sentinel of the New Moon|新月哨兵
Ashendir Hartwood|艾森迪爾‧哈伍德
Flame Portal|烈焰傳送門
Great Glorious Alliance Footman|大榮耀聯盟步卒
Blood Horde Grunt|血之部落蠻兵
Forsaken Soldier|被遺忘者士兵
Dreamseed Bloom|夢境種子盛開
Arzaal|阿爾札
Hadwin|哈德溫
Valunei|薇勒內
Kevo ya Siti|凱弗亞西帝
Primalist Flamewarden|洪荒使者火焰守望者
Tishamaat Celebrant|提夏瑪慶祝者
Faerin Lothar|法林‧洛薩
Dagran Thaurissan II|達格蘭‧索瑞森二世
Baelgrim|貝格姆
Adelgonn|阿德貢
General Steelstrike|鐵擊將軍
Arathi Stalwart|阿拉希堅兵
Velhanite Citizen|瓦爾罕居民
Aelric Leid|艾爾里克‧雷德
Merrix|梅里斯
Orweyna|歐薇娜
Kai'shae|凱夏
Ney'leia|奈蕾亞
Spindle|阿軸
Swift Stormrook|迅捷的風暴禿鼻鴉
Hallowfall Lightblade|聖落之地光劍兵
Zarein|札雷因
Ballista|弩砲
On'hiea|昂錫爾
Hannan|哈南
Horde Emmissary|部落使者
Mossy Snail|青苔蝸牛
Sporbit|小孢子
Stromgarde Footman|激流堡步卒
Arathi Aeroknight|阿拉希空騎士
Monte Gazlowe|蒙特‧加茲魯維
Grimla Fizzlecrank|葛麗菈‧嘶軸
Supplier Wei|供應商阿偉
Marran Trollbane|瑪蘭‧托爾貝恩
Soul-Scribe|靈魂雕銘師
Demon Hunter Champion|惡魔獵人勇士
Overseer Dritz|監督者德里茲
Undermine Resident|幽坑城居民
Pet Pal|寵物同伴
Narathe|娜拉瑟
Runed Storm Cache|符文風暴儲藏箱
Kirin Tor Survivor|祈倫托倖存者
Rebellious Citizen|反抗的居民
Xel'anegh the Many|「共體者」席拉涅
Decimus|戴西蒙斯
Zul'jan|祖爾詹
Zul'jarra|祖爾賈拉
Riftblade Astre|裂刃奧斯崔
Lady Darkglen|暗幽谷女士
Riftblade Maella|裂刃梅拉
Light's Vanguard|聖光先鋒
Leona Darkstrider|雷歐娜‧暗行
Charge Bar|充能條
Offworlder Refugee|外界者難民
Void Bubble|虛無泡泡
Sai'alyo|賽艾尤
War Chaplain Senn|戰爭牧師珊恩
Commander Venel Lightblood|指揮官維諾‧光血
Twilight Ogre Directional Sound Cue|暮光巨魔方向音效提示
Wolf|狼
Cat|貓
Spider|蜘蛛
Boar|野豬
Crocolisk|鱷魚
Carrion Bird|食腐鳥
Crab|螃蟹
Gorilla|猩猩
Raptor|迅猛龍
Tallstrider|陸行鳥
Voidwalker|虛無行者
Scorpid|蠍子
Turtle|烏龜
Bat|蝙蝠
Hyena|土狼
Bird of Prey|猛禽
Wind Serpent|風蛇
Remote Control|遙控
Dragonhawk|龍鷹
Warp Stalker|扭曲巡者
Sporebat|孢子蝙蝠
Ray|魟魚
Chimaera|奇美拉
Devilsaur|魔暴龍
Ghoul|食屍鬼
Aqiri|亞基蟲
Worm|蟲
Clefthoof|裂蹄
Core Hound|熔核犬
Spirit Beast|靈獸
Fox|狐狸
Monkey|猴子
Shale Beast|岩獸
Hydra|多頭蛇
Voidlord|虛無領主
Observer|觀察者
Earth Elemental|土元素
Waterfowl|水鳥
Water Strider|水黽
Rodent|齧齒類
Stone Hound|岩石犬
Gruffhorn|粗角山羊
Basilisk|蜥蜴
Direhorn|恐角龍
Storm Elemental|風暴元素
Terrorguard|恐懼護衛
Riverbeast|河獸
Stag|雄鹿
Mechanical|機械
Abomination|憎惡體
Scalehide|鱗皮
Oxen|玄牛
Feathermane|羽鬃
Lizard|蜥蜴
Carapid|硬殼蟲
Blood Beast|血獸
Camel|駱駝
Courser|駿馬
Mammoth|長毛象
Incubus|夢魔
Lesser Dragonkin|小型龍類
Whiptail|鞭尾蜥
PLAYER, Human|人類(玩家)
PLAYER, Orc|獸人(玩家)
PLAYER, Dwarf|矮人(玩家)
PLAYER, Night Elf|夜精靈(玩家)
PLAYER, Undead|不死族(玩家)
PLAYER, Tauren|牛頭人(玩家)
PLAYER, Gnome|地精(玩家)
PLAYER, Troll|食人妖(玩家)
Defias Brotherhood|迪菲亞兄弟會
Gnoll - Riverpaw|河爪豺狼人
Gnoll - Redridge|赤脊山豺狼人
Gnoll - Shadowhide|影皮豺狼人
Murloc|魚人
Undead, Scourge|不死族(天譴軍團)
Beast - Spider|蜘蛛
Beast - Boar|野豬
Kobold|狗頭人
Troll, Bloodscalp|血頂食人妖
Troll, Skullsplitter|劈顱食人妖
Prey|獵物
Beast - Wolf|狼人
Defias Brotherhood Traitor|叛變的迪菲亞盜賊
Friendly|友方
Trogg|穴居怪
Troll, Frostmane|霜鬃食人妖
Orc, Blackrock|黑石族獸人
Villian|壞人
Victim|犧牲品
Beast - Bear|熊
Kurzen's Mercenaries|庫森的雇傭兵
Escortee|衛隊
Venture Company|荊棘谷地精
Beast - Raptor|迅猛龍
Dragonflight, Green|綠龍軍團
Lost Ones|失落者
Blacksmithing - Armorsmithing| 鍛造 - 護甲鍛造
Dark Iron Dwarves|黑鐵矮人
Human, Night Watch|暮色森林守夜人
Dragonflight, Red|紅龍軍團
Gnoll - Mosshide|蘚皮豺狼人
Orc, Fel Dragonmaw|獸人，魔化龍喉氏族
Gnome - Leper|瘋狂地精
Leopard|豹
Scarlet Crusade|血色十字軍
Gnoll - Rothide|爛皮豺狼人
Beast - Gorilla|猩猩
Thorium Brotherhood|瑟銀兄弟會
Forlorn Spirit|棄靈
Darkhowl|暗吼
Grell|小劣魔
Furbolg|熊怪
Horde Generic|部落友軍
Syndicate|辛迪加
Hillsbrad Militia|希爾斯布萊德民兵
Spirit|靈魂
Gnoll - Mudsnout|泥嘴豺狼人
HIllsbrad, Southshore Mayor|希爾斯布萊德，南海鎮
Dragonflight, Black|黑龍軍團
Troll, Witherbark|枯木食人妖
Leatherworking - Elemental|製皮 - 元素
Quilboar, Razormane|剃鬃野豬人
Quilboar, Bristleback|刺背野豬人
Leatherworking - Dragonscale|製皮 - 龍鱗
Bloodsail Buccaneers|血帆海盜
Blackfathom|黑澗深淵
Makrura|龍蝦人
Centaur, Kolkar|科卡爾半人馬
Centaur, Galak|加拉克半人馬
Gelkis Clan Centaur|吉爾吉斯半人馬
Magram Clan Centaur|瑪格拉姆半人馬
Maraudine|瑪洛迪
Theramore|塞拉摩人類
Quilboar, Razorfen|剃刀沼澤野豬人
Quilboar, Razormane 2|剃鬃野豬人
Enemy|敵人
Ambient|小動物
Nethergarde Caravan|守望堡商隊
Steamwheedle Cartel|熱砂企業
Alliance Generic|聯盟
Nethergarde|守望堡
Silithid|異種蠍
Silvermoon Remnant|銀月倖存者
Zandalar Tribe|贊達拉部族
Blacksmithing - Weaponsmithing| 鍛造 - 武器鍛造
Beast - Bat|蝙蝠
Titan|泰坦
Taskmaster Fizzule|監工費蘇勒
Ravenholdt|拉文霍德
Gnomeregan Bug|諾姆瑞根蟲
Harpy|鷹身人
Burning Blade|燃刃
Shadowsilk Poacher|暗影蛛絲盜獵者
Searing Spider|灼熱蜘蛛
Goblin, Dark Iron Bar Patron|黑鐵酒吧哥布林老闆
The League of Arathor|阿拉索聯軍
The Defilers|污染者
Argent Dawn|銀色黎明
Darkspear Trolls|暗矛食人妖
Dragonflight, Bronze|青銅龍軍團
Dragonflight, Blue|藍龍軍團
Leatherworking - Tribal|製皮 - 部族
Engineering - Goblin|工程學 - 哥布林
Engineering - Gnome|工程學 - 地精
Blacksmithing - Hammersmithing|鍛造 - 錘類鍛造
Blacksmithing - Axesmithing|鍛造 - 斧類鍛造
Blacksmithing - Swordsmithing|鍛造 - 劍類鍛造
Troll, Vilebranch|邪枝食人妖
Southsea Freebooters|南海掠劫者
Furbolg, Uncorrupted|未墮落的熊怪
Wintersaber Trainers|冬刃豹訓練師
Cenarion Circle|塞納里奧議會
Shatterspear Trolls|碎矛食人妖
Ravasaur Trainers|暴掠龍訓練師
Majordomo Executus|管理者埃克索圖斯
Beast - Carrion Bird|禿鷹
Beast - Cat|貓
Beast - Crab|螃蟹
Beast - Crocilisk|鱷魚
Beast - Hyena|土狼
Beast - Owl|貓頭鷹
Beast - Scorpid|蠍子
Beast - Tallstrider|陸行鳥
Beast - Turtle|烏龜
Beast - Wind Serpent|風蛇
Training Dummy|訓練假人
Dragonflight, Black - Bait|黑龍軍團 - 誘餌
Battleground Neutral|戰場中立方
Frostwolf Clan|霜狼氏族
Stormpike Guard|雷矛衛隊
Hydraxian Waterlords|海達希亞水元素
Sulfuron Firelords|薩弗隆火焰之王
Gizlock's Dummy|吉茲洛克的假人
Gizlock's Charm|吉茲洛克的符咒
Gizlock|吉茲洛克
Moro'gai|莫洛加
Spirit Guide - Alliance|聯盟靈魂嚮導
Shen'dralar|辛德拉
Ogre (Captain Kromcrush)|巨魔（隊長克羅卡斯）
Spirit Guide - Horde|部落靈魂嚮導
Warsong Outriders|戰歌先遣騎
Silverwing Sentinels|銀翼哨兵
Alliance Forces|聯盟部隊
Horde Forces|部落軍隊
Revantusk Trolls|惡齒食人妖
Darkmoon Faire|暗月馬戲團
Brood of Nozdormu|諾茲多姆的子嗣
Might of Kalimdor|卡林多聯軍
PLAYER, Blood Elf|玩家，血精靈
Armies of C'Thun|克蘇恩軍隊
Silithid Attackers|異種攻擊者
The Ironforge Brigade|鐵爐堡兵團
RC Enemies|RC 敵人
RC Objects|RC 物件
Farstriders|遠行者
Sunstriders|逐日者
Magister's Guild|博學者的公會
PLAYER, Draenei|玩家，德萊尼
Scourge Invaders|天譴入侵者
Bloodmaul Clan|血槌氏族
Exodar|艾克索達
The Aldor|奧多爾
The Consortium|聯合團
The Scryers|占卜者
The Sha'tar|薩塔
Troll, Forest|食人妖，森林
The Omenai|歐曼奈
The Sons of Lothar|洛薩之子
The Mag'har|瑪格哈
Cenarion Expedition|塞納里奧遠征隊
Fel Orc Ghost|魔獄獸人鬼魂
Sons of Lothar Ghosts|洛薩之子鬼魂
Ethereum|以太皇族
Elemental, Earth|元素，地
Fighting Robots|戰鬥機器人
Actor Good|善良行動者
Actor Evil|邪惡行動者
Stillpine Furbolg|靜松熊怪
Crazed Owlkin|瘋狂的梟獸
Chess Alliance|聯盟西洋棋
Chess Horde|部落西洋棋
Monster Spar|怪盜史霸
Monster Spar Buddy|怪盜史霸黨羽
The Violet Eye|紫羅蘭之眼
Sunhawks|太陽之鷹
Hand of Argus|阿古斯之手
Fungal Giant|真菌巨人
Spore Bat|孢子蝙蝠
Monster, Predator|怪物，掠奪者
Monster, Prey|怪物，犧牲者
Void Anomaly|虛無異象
Hyjal Defenders|海加爾防衛者
Hyjal Invaders|海加爾入侵者
Kurenai|卡爾奈
Earthen Ring, Old World|陶土議會，舊世界
The Burning Crusade|燃燒的遠征
Zangarmarsh Banner (Alliance)|贊格沼澤旌旗（聯盟）
Zangarmarsh Banner (Horde)|贊格沼澤旌旗（部落）
Zangarmarsh Banner (Neutral)|贊格沼澤旌旗（中立）
Caverns of Time - Thrall|時光之穴 - 索爾
Caverns of Time - Durnholde|時光之穴 - 敦霍爾德
Caverns of Time - Southshore Guards|時光之穴 - 南海鎮衛兵
Shadow Council Covert|暗影議會藏身處
Keepers of Time|時光守望者
The Scale of the Sands|流沙之鱗
Dark Portal Defender, Alliance|黑暗之門防衛者，聯盟
Dark Portal Defender, Horde|黑暗之門防衛者，部落
Dark Portal Attacker, Legion|黑暗之門攻擊者，軍團
Inciter Trigger|煽動觸發器
Inciter Trigger 2|煽動觸發器 2
Inciter Trigger 3|煽動觸發器 3
Inciter Trigger 4|煽動觸發器 4
Inciter Trigger 5|煽動觸發器 5
Mana Creature|法力怪物
Khadgar's Servant|卡德加的僕從
Bladespire Clan|劍刃氏族
Ethereum Sparbuddy|以太皇族
Protectorate|護國者
Arcane Annihilator (DNR)|秘法殲滅者（DNR）
Friendly, Hidden|友善，隱藏
Kirin'Var - Dathric|肯瑞瓦 - 德崔克
Kirin'Var - Belmara|肯瑞瓦 - 貝爾瑪拉
Kirin'Var - Luminrath|肯瑞瓦 - 盧瑞斯
Kirin'Var - Cohlien|肯瑞瓦 - 考林
Servant of Illidan|伊利丹的僕人
Ashtongue Deathsworn|灰舌死亡誓言者
Spirits of Shadowmoon 1|暗月的靈魂 1
Spirits of Shadowmoon 2|暗月的靈魂 2
Netherwing|虛空之翼
Wyrmcult|巨龍教團
Treant|樹人
Leotheras Demon I|李奧薩拉斯惡魔 I
Leotheras Demon II|李奧薩拉斯惡魔 II
Leotheras Demon III|李奧薩拉斯惡魔 III
Leotheras Demon IV|李奧薩拉斯惡魔 IV
Leotheras Demon V|李奧薩拉斯惡魔 V
Azaloth|阿薩羅斯
Rock Flayer|剝石者
Flayer Hunter|剝皮獵人
Shadowmoon Shade|影月遮蔽處
Legion Communicator|軍團通報器
Ravenswood Ancients|鴉林長者
Chess, Friendly to All Chess|西洋棋，合適的西洋棋
Black Temple Gates - Illidari|黑暗神廟大門 - 伊利達瑞
Sha'tari Skyguard|薩塔禦天者
Maiev|瑪翼夫
Skettis Shadowy Arakkoa|司凱堤斯暗影阿拉卡
Skettis Arakkoa|司凱堤斯阿拉卡
Dragonmaw Enemy|龍喉敵人
Alliance Vanguard|聯盟先鋒
Frenzy|狂亂
Skyguard Enemy|禦天者敵人
Skunk, Petunia|臭鼬，喇叭花
Theramore Deserter|塞拉摩叛逃者
Northsea Pirates|北海海賊
Troll, Amani|食人妖，阿曼尼
Valiance Expedition|驍勇遠征軍
Horde Expedition|部落遠征軍
Westguard|鎮西衛
Spotted Gryphon|斑點獅鷲獸
Tamed Plaguehound|被馴服的瘟疫獵犬
Vrykul (Ancient Spirit 1)|維酷人（先靈1）
Vrykul (Ancient Siprit 2)|維酷人（先靈2）
Vrykul (Ancient Siprit 3)|維酷人（先靈3）
CTF - Flag - Alliance|奪取旗幟 - 旗幟 - 聯盟
vrykul|維酷人
Vrykul Gladiator|維酷鬥士
Valgarde Combatant|瓦爾加德戰鬥連隊
The Taunka|坦卡族
Monster, Zone Force Reaction 1|怪物，地區強迫回應1
Monster, Zone Force Reaction 2|怪物，地區強迫回應2
The Hand of Vengeance|復仇之手
Explorers' League|探險者協會
Craig's Squirrels|克瑞格的松鼠
The Kalu'ak|卡魯耶克
Holiday - Water Barrel|節日 - 水桶
Holiday - Generic|節日 - 通稱
Iron Dwarves|鐵矮人
Shattered Sun Offensive|破碎之日進攻部隊
Fighting Vanity Pet|對戰小寵物
Murloc, Winterfin|冬鰭魚人
Friendly, Force Reaction 1|友善，強制反應1
Object, Force Reaction|目標，強制反應
Vrykul, Sea|海汐維酷人
Warsong Offensive|戰歌進攻部隊
Poacher|盜獵者
Holiday Monster|節日怪物
Furbolg, Redfang|紅牙熊怪
Furbolg, Frostpaw|霜掌熊怪
Kirin Tor|祈倫托
