Original|Translated
Vermillion Redoubt|La redoute Vermillon
Cleft of Shadow|Faille de l’Ombre
The Drag|La Herse
Valley of Honor|Vallée de l’Honneur
Valley of Spirits|Vallée des Esprits
Valley of Strength|Vallée de la Force
Valley of Wisdom|Vallée de la Sagesse
The Severed Span|Le viaduc Rompu
Hogger Hill|Colline de Lardeur
Goldtooth's Den|Tanière de Dent-d’or
Crushcog's Arsenal|Arsenal de Brisedent
The Toxic Airfield|L’aérodrome Toxique
The Tidebreaker|La Déferlante
Voldrin's Hold|Bastion de Voldrin
Stygian Bounty|Bonnet stygien
Galerek's Remorse|Le remords de Galerek
The Iron Reaper|La Faucheuse de fer
The Intrepid|L’Intrépide
The Cape of Stranglethorn|Cap Strangleronce
Ahn'Qiraj Terrace|Terrasse d’Ahn’Qiraj
Mortwake's Tower|Tour de Morteveille
The Raging Chasm|Le gouffre Déchaîné
Jagged Wastes|Désert Déchiqueté
Scoured Reach|Les confins Creusés
Crumbling Depths|Les profondeurs Désagrégées
Shuddering Spires|Flèches Frissonnantes
The Pale Roost|Le perchoir Diaphane
Therazane's Throne|Trône de Therazane
Halcyon Egress|Émergence d’Halcyon
Twilight Precipice|Précipice du Crépuscule
Lorthuna's Gate|Porte de Lorthuna
Verlok Stand|Séjour des verloks
Grolluk's Grave|Tombe de Grolluk
Crimson Expanse|Étendues Cramoisies
Temple of Earth|Temple de la Terre
Swiftgear Station|Poste de Vifembraye
Greenwarden's Grove|Bosquet du Gardien vert
Hull of the Foebreaker|Coque du Tranche-menace
Transport: Onyxia/Nefarian Elevator|Transport : ascenseur Onyxia/Nefarian
Nazj'vel|Nazj’vel
Storm's Fury Wreckage|Épave de la Furie de l’orage
Stormwind Lake|Lac de Hurlevent
Llane's Oath|Serment de Llane
Olivia's Pond|Étang d’Olivia
The Sundering|La Fracture
Fort Livingston|Fort-Livingston
Yowler's Den|Tanière de Couineur
Scar of the Worldbreaker|Balafre du Brise-monde
Stormfeather Outpost|Avant-poste de Plumorage
Shalewind Canyon|Canyon Vent-de-schiste
Keeshan's Post|Poste de Keeshan
Camp Everstill|Camp Placide
Tower Watch|Tour de guet
Upper Silvermarsh|Marécage Argenté supérieur
Lower Silvermarsh|Marécage Argenté inférieur
Stonehearth|Âtrepierre
Fractured Front|Front Ravagé
Orgrimmar Embassy|Ambassade
Trial of Frost|L’Épreuve du Givre
The Bastion of Twilight|Le bastion du Crépuscule
Quartzite Basin|Bassin de Quartzite
Remains of the Fleet|Vestiges de la flotte
Sanctum of the Prophets|Sanctum des Prophètes
Fungal Deep|Les profondeurs Fongiques
Stranglethorn Vale|Vallée de Strangleronce
Hall of Arms|Salle d’armes
Hall of Explorers|Hall des Explorateurs
The Great Forge|La Grande forge
The Military Ward|La Garde militaire
The Mystic Ward|La Garde mystique
Stormwind City Cemetery|Cimetière de Hurlevent
Render's Crater|Cratère des Étripeurs
Alliance Mercenary Ship to Vashj'ir|Navire mercenaire de l’Alliance vers Vashj’ir
Needlerock Slag|Scories-de-Rochepointe
Needlerock Chasm|Gouffre de Rochepointe
Ruins of Gilneas City|Ruines de Gilnéas (ville)
Alabaster Shelf|Corniche d’Albâtre
Verrall Delta|Delta de la Verralle
Twilight Overlook|Surplomb du Crépuscule
Abyssion's Lair|Repaire d’Abyssion
Grommash Hold|Fort Grommash
The Quaking Fields|Les fonds Tremblants
Deathwing's Fall|La Chute d’Aile de mort
The Menders' Stead|Le bivouac des Soigneurs
Avalanchion's Vault|Caveau d’Avalanchion
Forsaken High Command|Haut-commandement Réprouvé
Blackrock Caverns Entrance|Entrée des cavernes de Rochenoire
Wreckage of the Silver Dawning|Épave de l’Aube argentée
The Abyssal Maw|La Gueule des abysses
Den of the Devourer|Tanière du Dévoreur
The Great Divide|La Grande division
Forsaken Rear Guard|Arrière-garde des Réprouvés
The Forsaken Front|Le front des Réprouvés
Dawnrise Expedition|Expédition Montelaube
Tol Barad Peninsula|Péninsule de Tol Barad
The Canals|Les Canaux
Ironwing Cavern|Grotte Aile-de-fer
Charred Outpost|Avant-poste Calciné
Masters' Gate|Porte des Maîtres
Chamber of Respite|Chambre du Répit
Lost City of the Tol'vir|Cité perdue des Tol’vir
The Wollerton Stead|Ferme des Wollerton
Stormwind City Outskirts|Faubourgs de Hurlevent
Baradin Hold|Bastion de Baradin
Slagworks|Forgeresse
Ironclad Garrison|Garnison du Cuirassé
Warden's Vigil|Veille des Gardiens
East Spire|Flèche Est
South Spire|Flèche Sud
West Spire|Flèche Ouest
Blackstone Span|Viaduc de Noirepierre
Explorers' League Digsite|Site de fouilles de la Ligue des explorateurs
The Old Barracks|La Vieille caserne
Silverlight Cavern|Caverne de Luisargent
Malicia's Outpost|Avant-poste de Malicia
The Maelstrom|Le Maelström
The Blood Trail|La traînée de Sang
The Gate of Unending Cycles|La porte des Cycles infinis
Redpine Dell|Cluse des Rougepins
Taelan's Tower|Tour de Taelan
Obelisk of the Stars|Obélisque des Étoiles
Obsidian Breakers|Brisants d’Obsidienne
Path of Uther|Voie d’Uther
Sorrow Hill Crypt|Crypte de la Colline des chagrins
The Eastern Earthshrine|Le sanctuaire Terrestre de l’Est
The Western Earthshrine|Le sanctuaire Terrestre de l’Ouest
Chamber of the Stars|Chambre des Étoiles
Forsaken Forward Command|Quartier général avancé des Réprouvés
Ring of the Elements|Cercle des éléments
The Maw of Madness|L’antre de la Folie
Ruins of Drakgor|Ruines de Drakgor
Dreadwatch Outpost|Avant-poste du Guet-de-l’Effroi
Rutsak's Guard|Garde de Rutsak
Glory|Gloire
Death's Step|Pas de la mort
Scarred Terrace|Terrasse Balafrée
Light's Shield Tower|Tour du bouclier de la Lumière
The Battle for Gilneas|La bataille de Gilnéas
Waterworks|Moulin à eau
Mines|Les Mines
Horde Landing|Arrivée de la Horde
Gilnean Stronghold|Bastion Gilnéen
Khartut's Tomb|Tombe de Khartut
The Battlefront|La Ligne de front
Bogpaddle|Brasse-Tourbe
Marshtide Watch|Guet de l’Estran
The Bloodmire|Le bourbier Sanglant
Dragonmaw Pass|Passe des Gueules-de-dragon
Wyrms' Bend|Tournant du Wyrm
Ix'lar's Domain|Domaine d’Ix’lar
Darrowshire Hunting Grounds|Terrain de chasse de Comté-de-Darrow
Gilnean Coast|Côte Gilnéenne
Siege Vise|L’étau du Siège
Victor's Point|Halte de la Victoire
Crushblow|Frakass
The Twilight Gate|La porte du Crépuscule
The Twilight Citadel|La citadelle du Crépuscule
Elementium Depths|Profondeurs d’Élémentium
Den of the Disciples|Tanière des Disciples
Pyrewood Chapel|Chapelle de Bois-du-Bûcher
Pyrewood Inn|Auberge de Bois-du-Bûcher
Pyrewood Town Hall|Hôtel de ville de Bois-du-Bûcher
Slithering Cove|Crique Sinueuse
Gilneas Liberation Front Base Camp|Campement du Front de libération de Gilnéas
7th Legion Base Camp|Campement de la 7e Légion
Dunwald Ruins|Ruines de Dunwald
Dunwald Holdout|Butte-Dunwald
Dunwald Hovel|Taudis des Dunwald
Dunwald Town Square|Place centrale de Dunwald
Dunwald Market Row|Allée du Marché de Dunwald
Gorshak War Camp|Camp de guerre Gorshak
The Boneyard|Le Charnier
The Devouring Breach|La brèche Dévorante
Fuselight|Lumèche
Fuselight-by-the-Sea|Lumèche-sur-Mer
Mar'at|Mar’at
Akhenet Fields|Champs d’Akhenet
Ramkahen Legion Outpost|Avant-poste de la légion Ramkahen
Shrine of the Elements|Autel des Éléments
Thundermar Ruins|Ruines de Tonnemar
Altar of Ascension|Autel de l’Ascension
Lake Dumont|Lac Dumont
The Pit of Scales|La fosse des Écailles
The Defiled Chapel|La chapelle Profanée
The Cerebrillum|Le Cervellium
Sunstone Terrace|Terrasse Solpierre
Shadowfang Keep Entrance|Entrée du donjon d’Ombrecroc
Scarlet Monastery Entrance|Entrée du Monastère Écarlate
Scholomance Entrance|Entrée de la Scholomance
Stratholme Entrance|Entrée de Stratholme
Stratholme Service Entrance|Entrée de service de Stratholme
Blackrock Depths Entrance|Entrée des profondeurs de Rochenoire
Blackrock Spire Entrance|Entrée du pic Rochenoire
Blackfathom Deeps Entrance|Entrée des profondeurs de Brassenoire
Razorfen Kraul Entrance|Entrée du kraal de Tranchebauge
Rhea's Camp|Campement de Rhea
Maraudon - The Wicked Grotto Entrance|Maraudon - Entrée de la grotte Maudite
Maraudon - Foulspore Cavern Entrance|Maraudon - Entrée de la caverne Vilespore
Maraudon - Earth Song Falls Entrance|Maraudon - Entrée des chutes de Chanteterre
Uldaman Entrance|Entrée d’Uldaman
Bloodwatcher Point|Halte de Guettesang
Dustwind Dig|Site de fouilles de la Bourrasque
Tomb of the Watchers|Tombeau des Gardiens
Crucible of Carnage|Creuset du carnage
Dire Maul - Warpwood Quarter Entrance|Hache-Tripes - Entrée du quartier de Crochebois
Dire Maul - Gordok Commons Entrance|Hache-Tripes - Entrée des communs gordok
Dire Maul - Capital Gardens Entrance|Hache-Tripes - Entrée des grands jardins
Razorfen Downs Entrance|Entrée des souilles de Tranchebauge
Zul'Farrak Entrance|Entrée de Zul’Farrak
Cape of Lost Hope|Cap de l’Espoir perdu
Wellson Shipyard|Chantier naval de Wellson
Forgotten Hill|La colline Oubliée
The Darkwood|Le Sombrebois
Rustberg Village|Rouillemont
Farson Hold|Bastion de Farson
Largo's Overlook|Surplomb de Largo
Hellfire Citadel - Ramparts Entrance|Citadelle des Flammes infernales - Entrée des remparts
The Restless Front|Le front Sans-Repos
Hellfire Citadel - The Shattered Halls Entrance|Citadelle des Flammes infernales - Entrée des salles Brisées
Hellfire Citadel - The Blood Furnace Entrance|Citadelle des Flammes infernales - Entrée de la Fournaise du sang
Baradin Base Camp|Campement de Baradin
Hellscream's Grasp|Emprise de Hurlenfer
Auchindoun - Auchenai Crypts Entrance|Auchindoun - Entrée des cryptes Auchenaï
Auchindoun - Mana-Tombs Entrance|Auchindoun - Entrée des Tombes-Mana
Auchindoun - Sethekk Halls Entrance|Auchindoun - Entrée des salles des Sethekk
Auchindoun - Shadow Labyrinth Entrance|Auchindoun - Entrée du labyrinthe des Ombres
Coilfang - The Steamvault Entrance|Glissecroc - Entrée du caveau de la Vapeur
Coilfang - The Underbog Entrance|Glissecroc - Entrée de la Basse-Tourbière
Coilfang - The Slave Pens Entrance|Glissecroc - Entrée des enclos aux esclaves
Tempest Keep - The Mechanar Entrance|Donjon de la Tempête - Entrée du Méchanar
Tempest Keep - The Botanica Entrance|Donjon de la Tempête - Entrée de la Botanica
Tempest Keep - The Arcatraz Entrance|Donjon de la Tempête - Entrée de l’Arcatraz
Magisters' Terrace Entrance|Entrée de la terrasse des Magistères
The Escape from Durnholde Entrance|Entrée de l’évasion de Fort-de-Durn
Opening of the Dark Portal Entrance|Entrée de l’Ouverture de la Porte des ténèbres
The Culling of Stratholme Entrance|L’entrée de l’Épuration de Stratholme
The Nexus Entrance|Entrée du Nexus
The Oculus Entrance|Entrée de l’Oculus
Loch Verrall|Loch Verralle
Dragon's Mouth|La Gueule du dragon
New Kargath|Nouvelle-Kargath
Utgarde Keep Entrance|Entrée du donjon d’Utgarde
Utgarde Pinnacle Entrance|Entrée de la cime d’Utgarde
Azjol-Nerub Entrance|Entrée d’Azjol-Nérub
Ahn'kahet: The Old Kingdom Entrance|Entrée d’Ahn’kahet : l’Ancien royaume
Drak'Tharon Keep Entrance|Entrée du donjon de Drak’Tharon
Violet Hold Entrance|Entrée du fort Pourpre
Gundrak Entrance|Entrée de Gundrak
Halls of Stone Entrance|Entrée des salles de Pierre
Halls of Lightning Entrance|Entrée des salles de Foudre
Trial of the Champion Entrance|Entrée de l’Épreuve du champion
The Forge of Souls Entrance|Entrée de la Forge des Âmes
Pit of Saron Entrance|Entrée de la fosse de Saron
Halls of Reflection Entrance|Entrée des salles des Reflets
Throne of the Tides Entrance|Entrée du Trône des marées
Grim Batol Entrance|Entrée de Grim Batol
The Stonecore Entrance|Entrée du Cœur-de-Pierre
The Threshold|Le Seuil
Altar of Twilight|Autel du Crépuscule
Gate of Hamatep|Porte d’Hamatep
Vir'naal River|La Vir’naal
Twilight Aerie|Nichoir du Crépuscule
The Twilight Withering|La Flétrissure du Crépuscule
Twilight Bulwark|Barricade du Crépuscule
Sunken Dig Site|Site de fouilles englouti
The Hidden Clutch|La Couvée cachée
The Nosebleeds|Les Gueules-Cassées
Highland Forest|Forêt des Hautes-Terres
Obsidian Forest|Forêt Obsidienne
Cradle of the Ancients|Berceau des Anciens
Obelisk of the Sun|Obélisque du Soleil
Sunken Temple Entrance|Entrée du Temple englouti
Chamber of the Sun|Chambre du Soleil
Schnottz's Landing|Accostage de Schnottz
Eastpoint Tower|Tour du Point de l’Est
Sludgeguard Tower|Tour de Gardefange
Shriveled Oasis|L’oasis Tarie
Ruins of Ammon|Ruines d’Ammon
The Black Breach|La brèche Noire
Tomb of the Earthrager|Tombeau de l’Enrageterre
Firebeard Cemetery|Cimetière de Barbe-en-Feu
The Cursed Landing|L’accostage Maudit
The Steps of Fate|Les marches du Destin
The Trail of Devastation|La piste Dévastée
Pyrox Flats|Plaine de Pyrox
The Verdant Thicket|Le fourré Verdoyant
The Circle of Cinders|Le cercle des Braises
The Tranquil Grove|Bosquet Paisible
Ruins of Lar'donir|Ruines de Lar’donir
Shadowlurk Ridge|Crête d’Ombrerôde
Black Drake Roost|Perchoir du Drake noir
Iron Summit|Sommet de Fer
Thorium Advance|Base avancée du Thorium
Oasis of the Fallen Prophet|Oasis du Prophète déchu
The Trapper's Enclave|L’enclave du Trappeur
Terrace of the Augurs|Terrasse des Augures
Sanctum of the South Wind|Sanctum du Vent du Sud
The Warlord's Garrison|La garnison du Seigneur de guerre
Lion's Pride Inn|Auberge de la Fierté du lion
Throne of the Four Winds|Trône des quatre vents
Glopgut's Hollow|Creux des Crassentrailles
Humboldt Conflagration|Déflagration de Humboldt
The Twilight Breach|La Brèche du Crépuscule
Tahret Grounds|Terres de Tahret
Seal of the Sun King|Sceau du roi-soleil
Whisperwind Grove|Bosquet de Murmevent
Sahket Wastes|Désert de Sahket
Ruins of Ahmtul|Ruines d’Ahmtul
Wildheart Point|Halte de Cœur-Sauvage
The Whelping Downs|Butte aux Dragonnets
Flamestar Post|Poste de Flammétoile
Black Tooth Hovel|Taudis de Noirdent
Fields of Honor|Champs d’Honneur
Chiselgrip|Cisepoigne
Firegut Furnace|Fournaise Brûlentrailles
The Skull Warren|Le dédale du Crâne
D-Block|Bloc D
Cursed Depths|Profondeurs Maudites
The Hole|Le Trou
Obsidian Lair|Repaire Obsidien
Neferset City|Neferset
Iso'rath|Iso’rath
Sunwatcher's Ridge|Crête du Guette-soleil
Vir'naal Dam|Barrage de la Vir’naal
Cannon's Inferno|Poudrière de Canon
Obelisk of the Moon|Obélisque de la Lune
Temple of Uldum|Temple d’Uldum
Oasis of Vir'sar|Oasis de Vir’sar
Ruins of Khintaset|Ruines de Khintaset
Chamber of the Moon|Chambre de la Lune
Sullah's Sideshow|Stand de Sullah
Maker's Ascent|Ascension des Faiseurs
Arikara's Needle|Aiguille d’Arikara
Irontree Clearing|Clairière d’Arbrefer
Valley of Ashes|Vallées des Cendres
Sindweller's Rise|Cime de Hante-stupre
Neferset City Outskirts|Faubourgs de Neferset
Wildhammer Flag Room|Salle du drapeau des Marteaux-hardis
Dragonmaw Flag Room|Salle du drapeau des Gueules-de-dragon
Thunderstrike Mountain|Mont Frappe-tonnerre
Beneath The Double Rainbow|Sous le double arc-en-ciel
Pilgrim's Precipice|Précipice du Pèlerin
Bashal'Aran Collapse|Effondrement de Bashal’Aran
The Howling Oak|Le Chêne hurlant
Mount Akher|Mont Akher
Tombs of the Precursors|Tombes des Précurseurs
Arsad Trade Post|Comptoir d’Arsad
Darkspear Shore|Rivage des Sombrelances
The Deathknell Graves|Les tombeaux du Glas
Murkdeep Cavern|Caverne de Fondeboue
Keset Pass|Passe de Keset
Ahn'Qiraj: The Fallen Kingdom|Ahn’Qiraj : le royaume Déchu
Surveyors' Outpost|Avant-poste des géomètres
M.A.C. Diver|Plongeur C.O.U.A.C.
Tomb of the Sun King|Tombeau du roi-soleil
The Circle of Life|Le cercle de Vie
Schnottz's Hostel|Foyer de Schnottz
Halls of Origination Entrance|Entrée des salles de l’Origine
The Vortex Pinnacle Entrance|Entrée de la cime du Vortex
Goodgrub Smoking Pit|Fosse de fumage de Bonrata
The Catacombs|Les catacombes
Snowden Chalet|Chalet Antre-des-Neiges
The Steam Pools|Les bassins de Vapeur
Beryl Egress|Émergence de Béryl
Lost City of the Tol'vir Entrance|Entrée de la cité perdue des Tol’vir
Atulhet's Tomb|Tombe d’Atulhet
Vir'naal Oasis|Oasis de la Vir’naal
Vir'naal Lake|Lac de la Vir’naal
Vir'naal River Delta|Delta de la Vir’naal
Fortune's Fist|Le Poing de la fortune
The Commons|Les communs
Duskmist Shore|Rivage de Brume-Soir
Brashtide Attack Fleet|Flotte d’attaque des Fiers-à-flot
Firelands|Terres de Feu
Twilight Camp|Campement du Crépuscule
Camp Mojache Longhouse|Maison longue du camp Mojache
Scott's Spooky Area|Zone sinistre de Scott
Falconwing Inn|Auberge de l’Épervier
Nordrassil Inn|Auberge de Nordrassil
Whelgar's Retreat|Retraite de Whelgar
Molten Front|Front du Magma
The Wandering Isle|L’île Vagabonde
Pei-Wu Forest|Forêt de Pei-Wu
Malfurion's Breach|Brèche de Malfurion
Ashen Fields|Champs des Cendres
Magma Springs|Sources de Magma
Igneous Depths|Profondeurs ignées
Forlorn Spire|La flèche Lugubre
The Widow's Clutch|Le Nid de la veuve
Wildflame Point|Halte de Flamme-Sauvage
The Furnace|La Fournaise
The Molten Flow|Le courant du Magma
Crumbling Stones|Les Pierres effondrées
Fireplume Peak|Pic du Panache de feu
Ragnaros' Reach|Emprise de Ragnaros
Dreadmist Camp|Campement de Brume-Funeste
Rhyolith Plateau|Plateau de Rhyolith
Beth'tilac's Lair|Repaire de Beth’tilac
Flamebreach|Flammebrèche
Shatterstone|Ruinepierre
Mortal's Demise|Trépas du mortel
Sulfuron Span|Viaduc de Sulfuron
Sulfuron Keep Courtyard|Cour du donjon de Sulfuron
Sulfuron Keep|Donjon de Sulfuron
The Molten Fields|Les champs Liquéfiés
Dragonmaw Stronghold|Bastion Gueule-de-dragon
Thalassian Range|Chaîne Thalassienne
Amani Mountains|Montagnes des Amani
Nordune Ridge|Crête de Nordune
Darsok's Outpost|Avant-poste de Darsok
A Dark Place|Au sein des Ombres
Cloudtop Terrace|Terrasse des Nuages
The Jade Forest|La forêt de Jade
Schnottz's Frigate|Frégate de Schnottz
Well of Eternity|Puits d’éternité
End Time|La Fin des temps
The Ridge of Ancient Flame|La crête de la Flamme antique
Entryway of Time|Entrée du Temps
The Staidridge|La corniche Austère
The Anvil of Conflagration|Enclume de la Déflagration
Valley of the Four Winds|Vallée des Quatre vents
Spine of the Destroyer UNUSED|L’échine du Destructeur INUTILISÉ
Anvil of Conflagration|Enclume de la Déflagration
Temple of Five Dawns|Temple des Cinq matins
The Path of Corruption|La voie de la Corruption
Circle of Thorns|Cercle d’Épines
Bluff of the South Wind|Promontoire du vent du Sud
The Dawning Valley|Vallée du Point-du-Jour
The Singing Pools|Bassins Chantants
The Rows|Les Travées
Mandori Village|Mandori
Ridge of Laughing Winds|Crête des Vents rieurs
Morning Breeze Village|Brise-du-Matin
Fe-Feng Village|Fe-Feng
The Wood of Staves|Forêt des Mille bâtons
Wreck of the Skyseeker|Épave du Chercheciel
Shang Xi Training Grounds|École de Shang Xi
Wu-Song Village|Wu-Song
Forest Heart|Cœur de la Forêt
The Dawning Span|L’arche du Point-du-Jour
Whispering Forest|Forêt des Murmures
Vale of Eternal Blossoms|Val de l’Éternel printemps
Kun-Lai Summit|Sommet de Kun-Lai
Townlong Steppes|Steppes de Tanglong
Tranquil Grotto|Grotte Paisible
Hour of Twilight|L’Heure du Crépuscule
Fu's Pond|Étang de Fu
The Dawning Stair|L’escalier du Point-du-Jour
Cave of Meditation|Caverne des Méditations
Shrine of Inner-Light|Sanctuaire de la Lumière intérieure
Silken Shore|Rivage Soyeux
Paw'don Glade|Clairière de Pao’don
Wreck of the Vanguard|Épave de l’Avant-garde
Garrosh'ar Point|Point Garrosh’ar
Nectarbreeze Orchard|Verger de Brise-de-Nectar
Tian Monastery|Monastère de Tian
Shrine of Remembrance|Sanctuaire du Souvenir
Camp Gormal|Camp de Gormal
The Elders' Path|La voie des Anciens
Liang's Retreat|Retraite de Liang
Darkmoon Island|Île de Sombrelune
Pool of Reflection|Étang de la Réflexion
Banquet Grounds|Cour du Banquet
Wreck of Hellscream's Fist|Épave du Poing de Hurlenfer
Ascent of Swirling Winds|Ascension des Vents tourbillonnants
Strongarm Airstrip|Piste d’atterrissage de Gros-Bras
The Ring of Inner Focus|L’arène de la Focalisation intérieure
The Darkmoon Faire|Foire de Sombrelune
The Ring of Balance|L’arène de l’Équilibre
Slingtail Pits|Fosses de Queutapulte
Sea Mist Ridge|Crête de la Brume de mer
Waxwood|Forêt de Troènes
Lair of the Jade Witch|Repaire de la Sorcière de jade
Serpent's Heart|Cœur du serpent
Darkmoon Deathmatch|Combats à mort de Sombrelune
Orchid Hollow|Creux de l’Orchidée
Terrace of Ten Thunders|Terrasse des Cent tonnerres
Maelstrom Deathwing Fight|Combat contre Aile de mort dans le Maelström
The Dai-Lo Farmstead|Ferme Dai-Lo
Virmen Grotto|Grotte des virmens
Teeming Burrow|Terrier grouillant
Ki-Han Brewery|Brasserie Ki-Han
Shrine of Dreaming Stones|Sanctuaire des Pierres des songes
Chamber of Whispers|Chambre des Murmures
Shadybranch Pocket|L’enclave Ombragée
Fox Grove|Bosquet du Renard
Shang's Valley|Vallée de Shang
Dragon Soul|L’Âme des dragons
The Fertile Copse|Taillis Fertile
Serenity Falls|Chutes de la Sérénité
Path of Enlightenment|Le chemin de l’Illumination
Exclamation Point|Point d’Exclamation
Cave of Words|Caverne des Palabres
Darkmoon Path|Chemin de Sombrelune
Darkmoon Boardwalk|Promenade de Sombrelune
Camp Nooka Nooka|Camp Nouka Nouka
Spire of Solitude|Cime de la Solitude
Lake Kittitata|Lac Kittitata
Circle of Scale|Cercle d’écailles
Circle of Bone|Cercle d’os
Circle of Stone|Cercle de pierre
Tideview Thicket|Fourré de Point-des-Marées
Dire Maul - North|Haches-Tripes - Nord
Dire Maul - East|Haches-Tripes - Est
Dire Maul - West|Haches-Tripes - Ouest
Stratholme - Main Gate|Stratholme - Grande porte
Stratholme - Service Entrance|Stratholme - Entrée de service
Shado-Pan Monastery|Monastère des Pandashan
Uncharted Sea|Mer inconnue
Eye of Eternity|L’Œil de l’éternité
Tasters' Arena|Arène des Goûteurs
Above the Frozen Sea|Survol de la mer Gelée
Wyrmrest Summit|Sommet du Repos du ver
The Silkwood|Sylvesoie
Dawn's Blossom|Fleur-de-l’Aurore
The Arboretum|L’Arboretum
Shrine of the Dawn|Sanctuaire de l’Aube
The Gong of Hope|Le Gong de l’Espoir
Pearl Lake|Lac de Perle
Pearlfin Village|Nageperle
Pang's Stead|Ferme de Pang
Thunderfoot Fields|Champs Pied de Foudre
Thunderfoot Ranch|Élevage Pied de Foudre
Thunderfoot Farm|Ferme Pied de Foudre
Dreamer's Pavilion|Pavillon du Rêveur
Tigers' Wood|Bois des Tigres
Amberfly Bog|Tourbières d’Ambraile
Forlorn Hut|La hutte Lugubre
Pool of the Paw|Bassin de la Patte
Morning Breeze Lake|Lac de Brise-du-Matin
Shrine of Five Dawns|Sanctuaire des Cinq matins
Grassy Cline|Versant Verdoyant
Shang's Stead|Ferme de Shang
Grookin Hill|Tertre des Groukards
Dookin' Grounds|Terres Dookin
Scenic Overlook|Surplomb panoramique
Murky Bank|Rive Bourbeuse
Den of Sorrow|Tanière de la Mélancolie
Greenstone Quarry|Carrière de Pierre-Verte
Temple of the Jade Serpent|Temple du Serpent de jade
Mudmug's Place|Maison de Gueule de Boue
Sunsoaked Meadow|Prairie d’Aquasoleil
The Twisted Warren|La garenne Tordue
Deathwing|Aile de mort
Slicky Stream|La Poisseuse
Emperor's Omen|Présage de l’empereur
Stormstout Brewery|Brasserie Brune d’Orage
The Bamboo Wilds|La bambouseraie Sauvage
Woods of the Lost|Bois des Perdus
Paoquan Hollow|Creux de Paoquan
Stoneplow|Chasse-Pierre
Stoneplow Fields|Champs de Chasse-Pierre
Singing Marshes|Marais Chantants
Pools of Purity|Bassins de la Pureté
New Cifera|Nouvelle-Cifera
Jade Temple Grounds|Jardins du Temple de jade
Gate of the Setting Sun|Porte du Soleil couchant
Ancient Courtyard|Cour Antique
Halfhill|Micolline
The Halfhill Market|Marché de Micolline
The Imperial Granary|Le grenier Impérial
Plain of Thieves|Plaine des Voleurs
Gilded Fan|Le delta Doré
Winds' Edge|Arête des Vents
Silken Fields|Les champs Soyeux
The Gilding Stream|Le ruisseau Doré
The Heartland|Le Giron
Courtyard of Lights|Cour des Lumières
Shores of the Well|Rivages du Puits
Azshara's Palace|Palais d’Azshara
Springtail Warren|Garenne Queubriole
Zhu's Watch|Guet de Zhu
Thirsty Alley|Rue de la soif
The Deepwild|Profondeurs sauvages
Zhu Province|Province de Zhu
The Veiled Stair|L’escalier Dérobé
Thunder Cleft|Faille du Tonnerre
Ruins of Dojan|Ruines de Dojan
The Incursion|L’Incursion
Dojani River|Rivière Dojani
Pools of Youth|Bassins de la Jeunesse
Windward Isle|Île Front-du-Vent
Dawnchaser Retreat|Retraite des Chasselaube
Krasarang River|Rivière de Krasarang
Ruins of Korja|Ruines de Korja
Sentinel Basecamp|Camp de base des Sentinelles
Fallsong Village|Chant-des-Flots
Krasari Falls|Chutes Krasari
The Forbidden Jungle|La jungle Interdite
The Southern Wall|Le mur Austral
Huangtze Falls|Chutes de Huangtze
Mistveil Sea|La mer du Voile de brume
Windspire Bridge|Pont de la Flèche du vent
The Windspire|Flèche du Vent
Nesingwary's Safari|Safari de Nesingwary
The Krasari Ruins|Les ruines Krasari
Virmen Nest|Nid des virmens
Dustback Gorge|Gorge de Saléchine
The Torjari Pit|La fosse Torjari
The Wild Plains|Les plaines Sauvages
Mistfall Village|Tombe-Brume
Ruins of Guo-Lai|Ruines de Guo-Lai
The Golden Stair|L’escalier Doré
Whitepetal Lake|Lac Blanc-Pétale
Setting Sun Garrison|Garnison du Soleil couchant
The Golden Pagoda|La Pagode dorée
Tu Shen Burial Ground|Terres sacrées de Tu Shen
Lair of the Beast|Le repaire de la Bête
Sunsong Ranch|Ferme Chant du Soleil
The Sea Wolf|Le Loup de mer
Temple of the Red Crane|Temple de la Grue rouge
Crane Wing Refuge|Refuge des Aile-de-Grue
Spiritsong River|Rivière Chantesprit
Temple of Kotmogu|Temple de Kotmogu
Scarlet Halls|Salles Écarlates
Ruins Rise|Cime des Ruines
Winterbough Glade|Clairière de Rameau-de-l’Hiver
The Five Sisters|Les Cinq Sœurs
Shattered Convoy|Convoi brisé
Binan Village|Binan
Kun-Lai Pass|Passage de Kun-Lai
Moonwater Retreat|Retraite d’Aiguelune
Skyrange|Chaîne des Cieux
Kunzen Village|Kunzen
Terrace of Endless Spring|Terrasse Printanière
Inkgill Mere|Étang des Branchies-d’encre
The Drunken Hozen|L’ivresse du Hozen
Lao & Son's Yakwash|Lavage de yacks Lao et fils
The Autumn Plains|Les plaines de l’automne
Guo-Lai Halls|Salles de Guo-Lai
The Golden Gateway|Les portes Mordorées
Auburn Bluffs|Pitons Acajou
Sri-La Village|Sri-La
Seat of the Spirit Waker|Siège de l’éveilleur d’esprits
The Grummle Bazaar|Le bazar des grumelots
Serpent's Overlook|Surplomb du Serpent
Peak of Serenity|Pic de la Sérénité
The Splintered Path|Le sentier de Bois-Cassé
Camp Broketooth|Camp Casse-Dent
The Deeper|La Fosse
One Keg|Monofu
Broketooth Outpost|Avant-poste de Casse-Dent
