Original|Translated
Raptor Pens|Cercado de Raptores
The Noxious Pass|El Paso Ponzoñoso
Vargoth's Retreat|Reposo de Vargoth
Violet Citadel Balcony|Balcón de la Ciudadela Violeta
Band of Variance|Anillo de Discrepancia
Band of Acceleration|Anillo de Aceleración
Band of Transmutation|Anillo de Transmutación
Band of Alignment|Anillo de Alineación
Orendil's Retreat|Refugio de Orendil
Blackfathom Camp|Campamento Brazanegra
Ashwood Lake|Lago Fresno
Ruuzel's Isle|Isla de Ruuzel
Auberdine Refugee Camp|Campamento de refugiados de Auberdine
Iron Concourse|Explanada de Hierro
Formation Grounds|Campo de Formación
Razorscale's Aerie|Nidal de Tajoescama
The Colossal Forge|La Forja Colosal
The Scrapyard|La Chatarrería
The Conservatory of Life|El Invernadero de Vida
The Archivum|El Archivum
Argent Tournament Grounds|Campos del Torneo Argenta
Ruins of Lornesta|Ruinas de Lornesta
Cliffspring Hollow|Cuenca Fonroca
Shatterspear War Camp|Campamento de Guerra Rompelanzas
Maw of the Void|Fauces del Vórtice
Shatterspear Vale|Valle Rompelanzas
Expedition Base Camp|Campamento Base de la Expedición
Sunreaver Pavilion|Pabellón Atracasol
Silver Covenant Pavilion|Pabellón de El Pacto de Plata
The Cooper Residence|La Residencia Cooper
The Ring of Champions|La Liza de los Campeones
The Aspirants' Ring|La Liza de los Aspirantes
The Argent Valiants' Ring|La Liza de los Valerosos Argenta
The Alliance Valiants' Ring|La Liza de los Valerosos de la Alianza
The Horde Valiants' Ring|La Liza de los Valerosos de la Horda
Argent Pavilion|Pabellón Argenta
Withering Thicket|Matorral Abrasador
The Forlorn Cavern|La Caverna Abandonada
Thunder Peak|Pico del Trueno
Hellscream's Watch|Avanzada Grito Infernal
Quel'Delar's Rest|Reposo de Quel'Delar
Splintertree Mine|Mina del Hachazo
Thistlefur Hold|Bastión Piel de Cardo
The Eye of the Vortex|El Ojo del Vórtice
Blackwood Camp|Campamento del Bosque Negro
The Blazing Strand|La Playa Llameante
Moontouched Den|Cubil Lunadón
Shatterspear Pass|Paso Rompelanzas
Raynewood Tower|Torre de la Algaba
Ruins of Gilneas|Ruinas de Gilneas
The Lost Isles|Las Islas Perdidas
Earthshatter Cavern|Caverna Rompetierra
Southern Barrens|Los Baldíos del Sur
Isle of Conquest|Isla de la Conquista
Stardust Spire|Aguja del Polvo Estelar
Moonwell of Cleansing|Poza de la Luna de Purificación
Krolg's Hut|Cabaña de Krolg
The Skunkworks|La Central Secreta
Bolyun's Camp|Campamento de Bolyun
House of Edune|Casa de Edune
Wellspring Hovel|Cobertizo Primigenio
Familiars|Familiares
Shipwreck Shore|Costa del Naufragio
Trial of the Crusader|Prueba del Cruzado
Trial of the Champion|Prueba del Campeón
Ban'ethil Barrow Descent|Descenso del Túmulo de Ban'ethil
The Headlands|Los Cabos
Keel Harbor|Puerto Quilla
Aderic's Repose|Reposo de Aderic
Northern Headlands|Cabos del Norte
Northgate Woods|Bosque de la Puerta del Norte
The Blackwald|El Monte Negro
Stormglen Village|Poblado Valletormenta
Emberstone Mine|Mina Piedra Ígnea
Galewatch Lighthouse|Faro Velavento
Emberstone Village|Aldea Piedra Ígnea
Northgate Breach|Brecha de la Puerta del Norte
The Bite|La Dentellada
Abyssal Maw|Fauce Abisal
Runeweaver Square|Plaza Tejerruna
The Silver Enclave|El Enclave de Plata
Isle of Conquest No Man's Land|Tierra de Nadie de Isla de la Conquista
Hrothgar's Landing|Desembarco de Hrothgar
Deathspeaker's Watch|Avanzada del Portavoz de la Muerte
Mountainfoot Strip Mine|Cantera de la Ladera
Orgrimmar Rear Gate|Puerta Trasera de Orgrimmar
Workshop|Taller
Quarry|Cantera
Docks|Muelles
Refinery|Refinería
Horde Keep|Fortaleza de la Horda
Alliance Keep|Fortaleza de la Alianza
Gilneas City|Ciudad de Gilneas
Merchant Square|Plaza de los Mercaderes
Military District|Distrito Militar
Greymane Court|Patio de Cringris
Cathedral Quarter|Barrio de la Catedral
The Sea Reaver's Run|La Travesía del Atracamar
Light's Dawn Cathedral|Catedral del Alba
Stoneward Prison|Prisión Guardapétrea
Transport: Alliance Gunship|Transporte: Nave de Guerra de la Alianza
Transport: Horde Gunship|Transporte: Nave de Guerra de la Horda
KTC Headquarters|Central SCK
Kaja'mine|Kaja'mina
Bilgewater Port|Puerto Pantoque
Gallywix's Villa|Chalet de Gallywix
First Bank of Kezan|Primer Banco de Kezan
Drudgetown|La Barriada
The Slick|El Escoplo
Swindle Street|Calle del Timo
Gilneas (Do Not Reuse)|Gilneas
Kaja'mite Cavern|Caverna de Kaja'mita
Horde Base Camp|Campamento Base de la Horda
The Vicious Vale|El Valle Atroz
Wild Overlook|Mirador Salvaje
The Savage Glen|La Cañada Salvaje
Alliance Beachhead|Desembarco de la Alianza
Vengeance Wake|Rastro Venganza
Duskhaven|Refugio del Ocaso
Stagecoach Crash Site|Lugar del Accidente de la Diligencia
Tempest's Reach|Tramo de la Tempestad
Northgate River|Río de la Puerta del Norte
Hailwood Marsh|Pantano Bosque del Pedrisco
Allen Farmstead|Hacienda de Allen
Hammond Farmstead|Hacienda de Hammond
Koroth's Den|Cubil de Koroth
Slitherblade Shore|Costa Filozante
Magram Territory|Territorio Magram
Thargad's Camp|Campo de Thargad
Trial of Fire|Prueba del Fuego
Trial of Shadow|Prueba de las Sombras
Arcane Pinnacle|Pináculo Arcano
Draka's Fury|Furia de Draka
Furien's Post|Puesto de Furien
Cenarion Wildlands|Tierras Vírgenes Cenarion
Karnum's Glade|Claro de Karnum
Wahl Cottage|Cabaña de Wahl
Crowley Orchard|Huerto de Crowley
Hayward Fishery|Caladero Hayward
The Forge of Souls|La Forja de Almas
Queen's Gate|Puerta de la Reina
King's Gate|Puerta del Rey
Pit of Saron|Foso de Saron
Sable Ridge|Cumbre Cebellina
Kelp'thar Forest|Bosque Kelp'thar
Dire Strait|Estrecho Temible
Greymane Manor|Mansión de Cringris
Crowley Stable Grounds|Tierras del Establo de Crowley
The Ancient Grove|La Antigua Arboleda
Halls of Reflection|Cámaras de Reflexión
Bilgewater Harbor|Muelle Pantoque
Kajaro Field|Campo Kajaro
Gallywix Pleasure Palace|Palacete de Gallywix
Northern Rocketway Exchange|Intercambiador de la Cohetepista del Norte
Storm Cliffs|Acantilados de la Tormenta
Southern Rocketway Terminus|Terminal de la Cohetepista del Sur
The Secret Lab|El Laboratorio Secreto
Orgrimmar Rocketway Exchange|Intercambiador de la Cohetepista de Orgrimmar
Transport: Alliance Gunship (IGB)|Transporte: Nave de Guerra de la Alianza
Transport: Horde Gunship (IGB)|Transporte: Nave de Guerra de la Horda
Ruins of Nordressa|Ruinas de Nordressa
Camp Sungraze|Campamento Rasguño de Sol
Stonetalon Pass|Paso del Espolón
Whitebeard's Encampment|Campamento de Barbablanca
Gallywix's Yacht|Yate de Gallywix
Fargaze Mesa|Colina de Vistalonga
The Pipe|La Tubería
Livery Outpost|Avanzada de la Caballería
Hunter's Hill|Cerro del Cazador
The Overgrowth|La Hojarasca
Camp Una'fe|Campamento Una'fe
Northwatch Hold|Fuerte del Norte
Teegan's Expedition|Expedición de Teegan
Forward Command|Mando de Vanguardia
Fields of Blood|Campos de Sangre
Ruins of Taurajo|Ruinas de Taurajo
The Great Gate|La Gran Puerta
Desolation Hold|Bastión de la Desolación
Fort Triumph|Fuerte Triunfo
Battlescar|Marca de Guerra
Firestone Point|Punta Piedra de Fuego
Rygna's Lair|Guarida de Rygna
The Frozen Throne|El Trono Helado
Overgrown Camp|Campamento Hojarasca
The Regrowth|El Brote
The Frozen Halls|Las Cámaras Heladas
Bloodtalon Shore|Costa Garrasangre
Zalazane's Fall|Caída de Zalazane
Darkspear Training Grounds|Campo de Entrenamiento Lanza Negra
Darkspear Hold|Bastión Lanza Negra
Spitescale Cove|Cala Escama Maliciosa
The Bradshaw Mill|Molino Sotogrande
Wood's End Cabin|Cabaña de la Espesura
Landing Site|Lugar del Desembarco
Town-In-A-Box|Ciudad de Bolsillo
Bael'dun Keep|Fortaleza de Bael'dun
Raptor Rise|Alto de Raptores
Scorched Gully|Quebrada del Llanto
Darkspear Isle|Isla Lanza Negra
Ruins of Vashj'elan|Ruinas de Vashj'elan
Vashj'elan Spawning Pool|Poza Emergente Vashj'elan
The Thornsnarl|El Gruñospina
The Battleboar Pen|El Cercado de Jabaguerreros
Thornmantle's Hideout|La Guarida de Mantospina
Marshal's Stand|Alto de Marshal
Mossy Pile|Pilote Musgoso
The Screaming Reaches|Cuenca de los Gritos
The Roiling Gardens|Los Jardines Turbados
Oomlot Village|Poblado Oomlot
Nightmare Scar|Paraje Pesadilla
The Nightmare Scar|Paraje Pesadilla
The Frost Queen's Lair|La Guarida de la Reina de Escarcha
Putricide's Laboratory of Alchemical Horrors and Fun|Laboratorio Horrores y Risas Alquímicas de Putricidio
The Sanctum of Blood|El Sagrario de Sangre
The Crimson Hall|La Sala Carmesí
Frostmourne|Agonía de Escarcha
Lost Peak|Pico Perdido
The Dark Approach|El Trayecto Oscuro
Scourgelord's Command|Dominio del Señor de la Plaga
The Shadow Throne|El Trono de las Sombras
The Hidden Passage|El Pasaje Oculto
Lost Caldera|Caldera Perdida
Volcanoth's Lair|Guarida de Volcanoth
Warchief's Lookout|Atalaya del Jefe de Guerra
Spitescale Cavern|Caverna Escama Maliciosa
Tranquil Coast|Costa Tranquila
Rotbrain Encampment|Campamento Pudrecerebro
Calston Estate|Dominios de Calston
Scarlet Palisade|Acantilado Escarlata
Scarlet Encampment|Campamento Escarlata
Death's Watch Waystation|Apeadero del Ocelo de la Muerte
Crusader's Run|Senda del Cruzado
Scarlet Watchtower|Torre de vigilancia Escarlata
Twilight Highlands|Tierras Altas Crepusculares
Sky Falls|Cascadas del Cielo
Gallywix Labor Mine|Mina de Trabajos Forzados de Gallywix
Thunk's Abode|Morada de Thunk
Blackrock Caverns|Cavernas Roca Negra
The Fold|El Redil
Talondeep Pass|Desfiladero del Espolón
Windshear Hold|Bastión Cortaviento
Webwinder Hollow|Cuenca de las Tejedoras
Ruins of Eldre'thar|Ruinas de Eldre'thar
The Deep Reaches|La Hondura Insondable
Krom'gar Fortress|Fortaleza Krom'gar
The Sludgewerks|Los Fangados
Mirkfallon Post|Puesto Mirkfallon
Cliffwalker Post|Puesto Caminarrisco
Thal'darah Overlook|Mirador Thal'darah
Battlescar Valley|Valle Marca de Guerra
Farwatcher's Glen|Cañada del Vigiaconfines
Northwatch Expedition Base Camp|Campamento Base de la Expedición del Fuerte del Norte
Unearthed Grounds|Campos Desenterrados
Windshear Heights|Altos Cortaviento
Dagger Pass|Paso de la Daga
Thal'darah Grove|Arboleda de Thal'darah
Halls of Origination|Cámaras de los Orígenes
Bael Modan Excavation|Excavación de Bael Modan
Twinbraid's Patrol|Patrulla de Trenzado
Frazzlecraz Motherlode|Filón Catacroquer
Spearhead|Punta de Lanza
Bilgewater Lumber Yard|Almacén de Madera Pantoque
KTC Oil Platform|Plataforma Petrolera SCK
Gallywix Docks|Muelles de Gallywix
The Lightless Reaches|Las Costas Extintas
The Slave Pits|Los Pozos de Esclavos
Verdant Highlands|Tierras Altas Verdes
Silver Tide Trench|Zanja de Marea Argenta
Glimmerdeep Gorge|Barranco Brillohondo
Biel'aran Ridge|Cresta de Biel'aran
Ruins of Vashj'ir|Ruinas de Vashj'ir
Quel'Dormir Terrace|Bancal de Quel'Dormir
Tranquil Wash|Estela Tranquila
Legion's Rest|Reposo de la Legión
Thermal Vents|Celosía Termal
Underlight Canyon|Cañón Sondaluz
Tenebrous Cavern|Caverna Tenebrosa
Darkbreak Cove|Cala Brechascura
Korthun's End|Fin de Korthun
Wolf's Run|Senda del Lobo
Shrine of Goldrinn|Santuario de Goldrinn
Maw of Lycanthoth|Fauces de Lycanthoth
Southfury Watershed|Cuenca Furia del Sur
The Dranosh'ar Blockade|El Bloqueo Dranosh'ar
Twilight Crossing|Cruce Crepuscular
The Twilight Gauntlet|La Vereda Crepuscular
The High Road|La Carretera
Vendetta Point|Punta Vendetta
The Ruby Sanctum|El Sagrario Rubí
Gar'gol's Hovel|Casucha de Gar'gol
Grove of Aessina|Arboleda de Aessina
Shrine of Aviana|Santuario de Aviana
Broken Commons|Ágora
Darkwhisper Pass|Paso Negro Rumor
The Forge of Supplication|La Forja de las Súplicas
Seat of the Chosen|Trono de los Elegidos
Doom's Vigil|Vigilia de la Fatalidad
Gates of Sothann|Puertas de Sothann
Lightning Ledge|Saliente de Relámpagos
Verrall River|Río Verrall
Camp Ataya|Campamento Ataya
Stonemaul Hold|Bastión Quebrantarrocas
Throne of the Tides|Trono de las Mareas
Silver Tide Hollow|Cuenca de Marea Argenta
Damplight Cavern|Caverna Luzúmida
Ruins of Thelserai Temple|Ruinas del Templo Thelserai
Shimmering Grotto|Gruta Bruñida
Shadebough|Rama Sombría
New Thalanaar|Nueva Thalanaar
Westreach Summit|Cima Tramo Oeste
The Briny Cutter|El Cúter Salobre
Blackhorn's Penance|Penitencia de Cuerno Negro
The Inferno|El Averno
Leyara's Sorrow|Pesar de Leyara
Whistling Grove|Arboleda Sibilante
The Scorched Plain|La Llanura Agostada
Ashen Lake|Lago Cinéreo
Sanctuary of Malorne|Santuario de Malorne
The Flamewake|La Estela Ardiente
The Searing Gateway|La Puerta de Fuego
Rim of the World|Límite del Mundo
The Emerald Summit|La Cumbre Esmeralda
Dreamer's Rest|Reposo de la Soñadora
The Shimmering Deep|El Piélago de Sal
Rustmaul Dive Site|Excavación Oximelena
Splithoof Heights|Cumbres Pezuña Quebrada
Southsea Holdfast|Sargazo de los Mares del Sur
The Admiral's Den|La Guarida del Almirante
Shallow's End|Confín del Bajío
Twin Peaks|Cumbres Gemelas
Hyjal Barrow Dens|Túmulos de Hyjal
Twilight Command Post|Puesto de Mando Crepuscular
The Vortex Pinnacle|La Cumbre del Vórtice
Darkmist Ruins|Ruinas Niebla Negra
Lake Edunel|Lago Edunel
Sulfuron Spire|Aguja de Sulfuron
The Throne of Flame|El Trono de la Llama
Fizzle & Pozzik's Speedbarge|Barcódromo de Fizzle y Pozzik
Deepholm|Infralar
The Tainted Forest|El Bosque Corrupto
Ascendant's Rise|Alto del Ascendiente
Mirage Abyss|Abismo del Espejismo
Abyssal Breach|Brecha Abisal
Raceway Ruins|Ruinas del Circuito
Speedbarge Bar|Bar del Barcódromo
Seafarer's Tomb|Tumba del Navegante
Legion's Fate|Destino de la Legión
Gurboggle's Ledge|Saliente de Guraturdido
The Skeletal Reef|Arrecife de Huesos
Gnaws' Boneyard|Fosa de Bocados
The Immortal Coil|La Espiral Inmortal
Smuggler's Scar|Cicatriz del Contrabandista
Deepmist Grotto|Gruta Brumadensa
The Clutch|El Encierro
Steelspark Station|Estación Chispacero
Bootlegger Outpost|Avanzada del Contrabandista
Dunemaul Recruitment Camp|Campo de Reclutamiento Machacaduna
The Anvil of Flame|El Yunque de la Llama
Tower of Estulan|Torre de Estulan
Trueshot Point|Punta Alblanco
The Inner Spire|Aguja Interior
Pattymack Land|Tierra de Pattymack
Budd's Dig|Excavación de Budd
Gorrok's Lament|Lamento de Gorrok
Feathermoon Stronghold|Bastión Plumaluna
Fallowmere Inn|Taberna de Merobarbecho
Slabchisel's Survey|Peritaje de Tallalosas
Tirth's Haunt|Refugio de Tirth
Nethergarde Supply Camps|Campamento de Suministros de Nethergarde
Shattershore|Costa Quebrada
The Red Reaches|Las Costas Rojas
Rockpool Village|Aldea Pozarroca
Bloodwash Fighting Pits|Fosos de lucha de La Playa de Sangre
Bloodwash Shrine|Santuario de La Playa de Sangre
Bloodwash Cavern|Cueva de La Playa de Sangre
Sunveil Excursion|Excursión Velosolar
Surwich|Mechasur
Dreadmaul Furnace|Horno Machacamiedo
Sethria's Roost|Nidal de Sethria
The Stonecore|El Núcleo Pétreo
Quel'Dormir Gardens|Jardines de Quel'Dormir
Nar'shola Terrace|Bancal de Nar'shola
Northwatch Expedition Base Camp Inn|Taberna del Campamento Base de la Expedición del Fuerte del Norte
Blackwing Descent|Descenso de Alanegra
Frostmane Front|Frente de Peloescarcha
Frostmane Retreat|Refugio Peloescarcha
The Crucible|El Crisol
Promontory Point|Alto del Promontorio
Deepfin Ridge|Cresta de Aleta Profunda
Nightmare Depths|Profundidades de Pesadilla
The Scalding Chasm|La Sima Escaldante
The Undershell|La Concha Subterránea
Pincer X2|Tenazario X2
The Verne|El Verne
Sira'kess Front|Frente de Sira'kess
The Battle for Gilneas (Old City Map)|La Batalla por Gilneas (Mapa de la antigua ciudad)
Bahrum's Post|Puesto de Bahrum
Ironforge Airfield|Base aérea de Forjaz
Nozzlepot's Outpost|Avanzada de Ollaboquilla
Windshear Valley|Valle Cortaviento
Galen's Fall|Caída de Galen
Quel'Dormir Temple|Templo de Quel'Dormir
Seat of Life|Trono de la Vida
Seabrush|Malezamarina
Abandoned Reef|Arrecife Abandonado
Dragonmaw Port|Puerto Faucedraco
The Krazzworks|La Krazzería
Bloodgulch|Garganta de Sangre
The Gullet|La Garganta
Highbank|Bancalto
Firebeard's Patrol|Patrulla de Barbafuego
Thundermar|Bramal
Shimmering Expanse|Extensión Bruñida
Abyssal Depths|Profundidades Abisales
Trade District|Distrito de Mercaderes
Old Town|Casco Antiguo
Dwarven District|Distrito de los Enanos
Cathedral Square|Plaza de la Catedral
The Park|El Parque
Mage Quarter|Barrio de los Magos
Vermillion Redoubt|Reducto Bermellón
Cleft of Shadow|Circo de las Sombras
The Drag|La Calle Mayor
Valley of Honor|Valle del Honor
Valley of Spirits|Valle de los Espíritus
Valley of Strength|Valle de la Fuerza
Valley of Wisdom|Valle de la Sabiduría
The Severed Span|Tramoduro
Hogger Hill|Colina de Hogger
Goldtooth's Den|Cubil de Dientes de Oro
Crushcog's Arsenal|Arsenal de Prensadiente
The Toxic Airfield|La Base Aérea Tóxica
The Tidebreaker|El Rompemareas
Voldrin's Hold|Bastión de Voldrin
Stygian Bounty|Recompensa Estigia
Galerek's Remorse|Remordimiento de Galerek
The Iron Reaper|La Segadora de Hierro
The Intrepid|El Intrépido
The Cape of Stranglethorn|El Cabo de Tuercespina
Ahn'Qiraj Terrace|Bancal de Ahn'Qiraj
Mortwake's Tower|Torre Mortoalerta
The Raging Chasm|La Sima Enfurecida
Jagged Wastes|Ruinas Dentadas
Scoured Reach|Tramo de Rozas
Crumbling Depths|Profundidades Desmoronadas
Shuddering Spires|Agujas Estremecedoras
The Pale Roost|El Nidal Pálido
Therazane's Throne|Trono de Therazane
Halcyon Egress|Egreso Próspero
Twilight Precipice|Precipicio Crepuscular
Lorthuna's Gate|Puerta de Lorthuna
Verlok Stand|Alto Verlok
Grolluk's Grave|Tumba de Grolluk
Crimson Expanse|Extensión Carmesí
Temple of Earth|Templo de la Tierra
Swiftgear Station|Estación Cambioveloz
Greenwarden's Grove|Arboleda del Guardaverde
Hull of the Foebreaker|Casco del Rasgadversarios
Transport: Onyxia/Nefarian Elevator|Transporte - Ascensor Onyxia/Nefarian
Storm's Fury Wreckage|Restos de la Furia de la Tormenta
Stormwind Lake|Lago de Ventormenta
Llane's Oath|Juramento de Llane
Olivia's Pond|Estanque de Olivia
The Sundering|El Cataclismo
Fort Livingston|Fuerte Livingston
Yowler's Den|Cubil de Ululante
Scar of the Worldbreaker|Cicatriz del Rompemundos
Stormfeather Outpost|Avanzada Tempespluma
Shalewind Canyon|Cañón del Viento Calizo
Keeshan's Post|Puesto de Keeshan
Camp Everstill|Campamento Sempiterno
Tower Watch|Avanzada de la Torre
Upper Silvermarsh|Marjal Argenta Superior
Lower Silvermarsh|Marjal Argenta Inferior
Stonehearth|Hogar Pétreo
Fractured Front|Frente Fracturado
Orgrimmar Embassy|Embajada de Orgrimmar
Trial of Frost|Prueba de Escarcha
The Bastion of Twilight|El Bastión del Crepúsculo
Quartzite Basin|Cuenca de Cuarcita
Remains of the Fleet|Restos de la Flota
Sanctum of the Prophets|Sagrario de los Profetas
Fungal Deep|Profundidades Fungal
Stranglethorn Vale|Vega de Tuercespina
Hall of Arms|Sala de Armas
Hall of Explorers|Sala de los Expedicionarios
The Great Forge|La Gran Fundición
The Military Ward|La Sala Militar
The Mystic Ward|La Sala Mística
Stormwind City Cemetery|Cementerio de la Ciudad de Ventormenta
Render's Crater|Cráter de Render
Alliance Mercenary Ship to Vashj'ir|Barco mercenario de la Alianza a Vashj'ir
Needlerock Slag|Fosa Rocaguja
Needlerock Chasm|Sima Rocaguja
Ruins of Gilneas City|Ruinas de la Ciudad de Gilneas
Alabaster Shelf|Saliente Alabastro
Verrall Delta|Delta del Verrall
Twilight Overlook|Mirador Crepuscular
Abyssion's Lair|Guarida de Abismion
Grommash Hold|Fuerte Grommash
The Quaking Fields|Los Campos Convulsos
Deathwing's Fall|Caída de Alamuerte
The Menders' Stead|La Finca de los Ensalmadores
Avalanchion's Vault|Cámara de Avalanchion
Forsaken High Command|Alto Mando Renegado
Blackrock Caverns Entrance|Entrada de las Cavernas Roca Negra
Wreckage of the Silver Dawning|Restos del Amanecer de Plata
The Abyssal Maw|Fauce Abisal
Den of the Devourer|Cubil del Devorador
The Great Divide|La Gran División
Forsaken Rear Guard|Puesto de Retaguardia Renegado
The Forsaken Front|El Frente Renegado
Dawnrise Expedition|Expedición Alzalba
Tol Barad Peninsula|Península de Tol Barad
The Canals|Los Canales
Ironwing Cavern|Caverna de Alahierro
Charred Outpost|Avanzada Carbonizada
Masters' Gate|Puerta de los Maestros
Chamber of Respite|Cámara del Descanso
Lost City of the Tol'vir|Ciudad Perdida de los Tol'vir
The Wollerton Stead|La Finca de Wollerton
Stormwind City Outskirts|Afueras de la Ciudad de Ventormenta
Baradin Hold|Bastión de Baradin
Slagworks|Rescoldos
Ironclad Garrison|Cuartel del Acorazado
Warden's Vigil|Vigilia de la Celadora
East Spire|Fortín del Este
South Spire|Fortín del Sur
West Spire|Fortín del Oeste
Blackstone Span|Tramo Piedranegra
Explorers' League Digsite|Excavación de la Liga de Expedicionarios
The Old Barracks|El Antiguo Cuartel
Silverlight Cavern|Caverna Luz de Plata
Malicia's Outpost|Avanzada de Malicia
The Maelstrom|La Vorágine
The Blood Trail|El Reguero de Sangre
The Gate of Unending Cycles|La Puerta de los Ciclos Eternos
Redpine Dell|Valle Pinorrojo
Taelan's Tower|Torre de Taelan
Obelisk of the Stars|Obelisco de las Estrellas
Obsidian Breakers|Rompiente Obsidiana
Path of Uther|Senda de Uther
Sorrow Hill Crypt|Cripta de la Colina de las Penas
The Eastern Earthshrine|El Santuario de la Tierra Oriental
The Western Earthshrine|El Santuario de la Tierra Occidental
Chamber of the Stars|Cámara de las Estrellas
Forsaken Forward Command|Mando Avanzado Renegado
Ring of the Elements|Círculo de los Elementos
The Maw of Madness|Las Fauces de la Locura
Ruins of Drakgor|Ruinas de Drakgor
Dreadwatch Outpost|Avanzada Velaspanto
Rutsak's Guard|Guardia de Rutsak
Glory|Gloria
Death's Step|Grada de la Muerte
Scarred Terrace|Bancal Rajado
Light's Shield Tower|Torre del Escudo de la Luz
The Battle for Gilneas|La Batalla por Gilneas
Waterworks|Estación de Bombeo
Mines|Minas
Horde Landing|Aterrizaje de la Horda
Gilnean Stronghold|Fortaleza de Gilneas
Khartut's Tomb|Tumba de Khartut
The Battlefront|El Frente de Batalla
Bogpaddle|Chapaleos
Marshtide Watch|Avanzada Marea Pantanosa
The Bloodmire|Fango de Sangre
Dragonmaw Pass|Paso Faucedraco
Wyrms' Bend|Recodo de Vermis
Ix'lar's Domain|Dominio de Ix'lar
Darrowshire Hunting Grounds|Terrenos de caza de Villa Darrow
Ramkahen|ramkahen
Gilnean Coast|Costa de Gilneas
Siege Vise|Torno de Asedio
Victor's Point|Paso del Invicto
Crushblow|Machacolpe
The Twilight Gate|La Puerta Crepuscular
The Twilight Citadel|La Ciudadela Crepuscular
Elementium Depths|Profundidades de Elementium
Den of the Disciples|Cubil de los Discípulos
Pyrewood Chapel|Capilla Piroleña
Pyrewood Inn|Posada Piroleña
Pyrewood Town Hall|Concejo Piroleña
Slithering Cove|Cala Serpenteante
Gilneas Liberation Front Base Camp|Campamento base del Frente de Liberación de Gilneas
7th Legion Base Camp|Campamento base de la Séptima Legión
Dunwald Ruins|Ruinas Montocre
Dunwald Holdout|Resistencia Montocre
Dunwald Hovel|Cobertizo Montocre
Dunwald Town Square|Plaza Principal Montocre
Dunwald Market Row|Fila del Mercado Montocre
Gorshak War Camp|Campamento de Guerra Gorshak
The Boneyard|El Osario
The Devouring Breach|La Brecha Devoradora
Fuselight|El Diodo
Fuselight-by-the-Sea|El Diodo de Mar
Akhenet Fields|Campos de Akhenet
Ramkahen Legion Outpost|Avanzada de la Legión Ramkahen
Shrine of the Elements|Santuario de los Elementales
Thundermar Ruins|Ruinas de Bramal
Altar of Ascension|Altar de la Ascensión
Lake Dumont|Lago Dumont
The Pit of Scales|El Foso de Escamas
The Defiled Chapel|La Capilla Profanada
The Cerebrillum|El Cerebelo
Sunstone Terrace|Bancal Piedrasol
Shadowfang Keep Entrance|Entrada del Castillo de Colmillo Oscuro
Scarlet Monastery Entrance|Entrada del Monasterio Escarlata
Scholomance Entrance|Entrada de Scholomance
Stratholme Entrance|Entrada de Stratholme
Stratholme Service Entrance|Entrada de Servicio de Stratholme
Blackrock Depths Entrance|Entrada de las Profundidades de Roca Negra
Blackrock Spire Entrance|Entrada de la Cumbre de Roca Negra
Blackfathom Deeps Entrance|Entrada de las Cavernas de Brazanegra
Razorfen Kraul Entrance|Entrada de Horado Rajacieno
Rhea's Camp|Campamento de Rhea
Maraudon - The Wicked Grotto Entrance|Maraudon - Entrada de la Gruta Maldita
Maraudon - Foulspore Cavern Entrance|Maraudon: Entrada de la Gruta de la Espora Fétida
Maraudon - Earth Song Falls Entrance|Maraudon: Entrada de las Cascadas del Canto de la Tierra
Uldaman Entrance|Entrada de Uldaman
Bloodwatcher Point|Paso de Mirasangre
Dustwind Dig|Excavación Viento Seco
Tomb of the Watchers|Tumba de los Vigías
Crucible of Carnage|Crisol de Matanza
Dire Maul - Warpwood Quarter Entrance|La Masacre: Entrada del Barrio Alabeo
Dire Maul - Gordok Commons Entrance|La Masacre: Entrada del Ágora de Gordok
Dire Maul - Capital Gardens Entrance|La Masacre: Entrada de los Jardines de la Capital
Razorfen Downs Entrance|Entrada de Zahúrda Rajacieno
Zul'Farrak Entrance|Entrada de Zul'Farrak
Cape of Lost Hope|Cabo de la Esperanza Perdida
Wellson Shipyard|Astillero de Wellson
Forgotten Hill|Colina del Olvido
The Darkwood|Leñoscuro
Rustberg Village|Aldea Monrojo
Farson Hold|Fortaleza de Farson
Largo's Overlook|Alto de Largo
Hellfire Citadel - Ramparts Entrance|Ciudadela del Fuego Infernal: Entrada de las Murallas
The Restless Front|El Frente Inquieto
Hellfire Citadel - The Shattered Halls Entrance|Ciudadela del Fuego Infernal: Entrada de Las Salas Arrasadas
Hellfire Citadel - The Blood Furnace Entrance|Ciudadela del Fuego Infernal: Entrada de El Horno de Sangre
Baradin Base Camp|Campamento de Baradin
Hellscream's Grasp|Dominios Grito Infernal
Auchindoun - Auchenai Crypts Entrance|Auchindoun - Entrada de las Criptas Auchenai
Auchindoun - Mana-Tombs Entrance|Auchindoun - Entrada de las Tumbas de Maná
Auchindoun - Sethekk Halls Entrance|Auchindoun - Entrada de las Salas Sethekk
Auchindoun - Shadow Labyrinth Entrance|Auchindoun - Entrada del Laberinto de las Sombras
Coilfang - The Steamvault Entrance|Colmillo Torcido: Entrada de La Cámara de Vapor
Coilfang - The Underbog Entrance|Colmillo Torcido: Entrada de La Sotiénaga
Coilfang - The Slave Pens Entrance|Colmillo Torcido: Entrada del Recinto de los Esclavos
Tempest Keep - The Mechanar Entrance|El Castillo de la Tempestad: Entrada de El Mechanar
