Original|Translated
Murloc|Tú
Undead, Scourge|No-muertos, Plaga
Beast - Spider|Bestia: araña
Beast - Boar|Bestia: jabalí
Kobold|avaricioso
Troll, Bloodscalp|Trol, Sangrapellejo
Troll, Skullsplitter|Trol, Machacacráneos
Prey|Presa
Beast - Wolf|Bestia: lobo
Defias Brotherhood Traitor|Traidor de la Hermandad Defias
Friendly|Espíritu
Troll, Frostmane|Trol, Peloescarcha
Orc, Blackrock|Orco, Roca Negra
Victim|enredada
Beast - Bear|Bestia: oso
Kurzen's Mercenaries|Mercenarios de Kurzen
Escortee|Acompañante
Venture Company|Ventura y Cía.
Beast - Raptor|Bestia: raptor
Dragonflight, Green|Vuelo, Verde
Lost Ones|Los Perdidos
Blacksmithing - Armorsmithing|Herrería: armaduras
Dark Iron Dwarves|Enanos Hierro Negro
Human, Night Watch|Humano, Guardia Nocturna
Dragonflight, Red|Vuelo, Rojo
Gnoll - Mosshide|Gnoll: Pellejomusgo
Orc, Fel Dragonmaw|Orco, Faucedraco Vil
Gnome - Leper|Gnomo: paria
Leopard|Escórpido
Scarlet Crusade|Cruzada Escarlata
Gnoll - Rothide|Gnoll: Putrepellejo
Beast - Gorilla|Bestia: gorila
Thorium Brotherhood|Hermandad del Torio
Forlorn Spirit|Espíritu melancólico
Darkhowl|Aullido Oscuro
Furbolg|Faucenegra
Horde Generic|Genérico de la Horda
Syndicate|La Hermandad
Hillsbrad Militia|Milicia de Trabalomas
Demon|convertido
Spirit|inquieto
Treasure|escondido
Gnoll - Mudsnout|Gnoll: Morrobarro
HIllsbrad, Southshore Mayor|Trabalomas, Alcalde de Costasur
Dragonflight, Black|Vuelo, Negro
Troll, Witherbark|Trol, Secacorteza
Leatherworking - Elemental|Peletería: elemental
Quilboar, Razormane|Jabaespín, Crines de Acero
Quilboar, Bristleback|Jabaespín, Erizapúas
Leatherworking - Dragonscale|Peletería: dragontina
Bloodsail Buccaneers|Bucaneros Velasangre
Blackfathom|Brazanegra
Centaur, Kolkar|Centauro, Kolkar
Centaur, Galak|Centauro, Galak
Gelkis Clan Centaur|Centauros del clan Gelkis
Magram Clan Centaur|Centauros del clan Magram
Quilboar, Razorfen|Jabaespín, Rajacieno
Quilboar, Razormane 2|Jabaespín, Crines de Acero 2
Quilboar, Deathshead|Jabaespín, Galponmuerte
Enemy|Enemigo
Ambient|Ambiente
Nethergarde Caravan|Caravana Nethergarde
Steamwheedle Cartel|Cártel Bonvapor
Alliance Generic|Genérico de la Alianza
Silithid|Devastador
Silvermoon Remnant|Lunargenta Despogiz
Zandalar Tribe|Tribu Zandalar
Blacksmithing - Weaponsmithing|Herrería: armas
Beast - Bat|Bestia: murciélago
Titan|titánico
Taskmaster Fizzule|Capataz Fizzule
Gnomeregan Bug|Bicho de Gnomeregan
Harpy|Arpía
Burning Blade|Filo Ardiente
Shadowsilk Poacher|Furtivo Sedaumbría
Searing Spider|Araña abrasadora
Goblin, Dark Iron Bar Patron|Goblin, Dueño de bar Hierro Negro
The League of Arathor|Liga de Arathor
The Defilers|Los Rapiñadores
Argent Dawn|El Alba Argenta
Darkspear Trolls|Trols Lanza Negra
Dragonflight, Bronze|Vuelo, Bronce
Dragonflight, Blue|Vuelo, Azul
Leatherworking - Tribal|Peletería: tribal
Engineering - Goblin|Ingeniería: goblin
Engineering - Gnome|Ingeniería: gnoma
Blacksmithing - Hammersmithing|Herrería: martillos
Blacksmithing - Axesmithing|Herrería: hachas
Blacksmithing - Swordsmithing|Herrería: espadas
Troll, Vilebranch|Trol, Vilrama
Southsea Freebooters|Filibusteros de los Mares del Sur
Furbolg, Uncorrupted|Fúrbolg, incorrupto
Wintersaber Trainers|Instructores de sableinvernales
Cenarion Circle|Círculo Cenarion
Shatterspear Trolls|Trols Rompelanzas
Ravasaur Trainers|Instructores de Ravasaurios
Majordomo Executus|Mayordomo Executus
Beast - Carrion Bird|Bestia: pájaro carroñero
Beast - Cat|Bestia: gato
Beast - Crab|Bestia: cangrejo
Beast - Crocilisk|Bestia: crocolisco
Beast - Hyena|Bestia: hiena
Beast - Owl|Bestia: búho
Beast - Scorpid|Bestia: escórpido
Beast - Tallstrider|Bestia: zancaalta
Beast - Turtle|Bestia: tortuga
Beast - Wind Serpent|Bestia: serpiente alada
Training Dummy|Muñeco de entrenamiento
Dragonflight, Black - Bait|Vuelo, Negro: cebo
Battleground Neutral|Neutral en campo de batalla
Frostwolf Clan|Clan Lobo Gélido
Stormpike Guard|Guardia Pico Tormenta
Hydraxian Waterlords|Srs. del Agua de Hydraxis
Sulfuron Firelords|Señores del Fuego de Sulfuron
Gizlock's Dummy|Muñeco de Gizlock
Gizlock's Charm|Talismán de Gizlock
Moro'gai|Moro'gan
Spirit Guide - Alliance|Guía espiritual: Alianza
Ogre (Captain Kromcrush)|Ogro (capitán Kromcrush)
Spirit Guide - Horde|Guía espiritual: Horda
Warsong Outriders|Escoltas Grito de Guerra
Silverwing Sentinels|Centinelas Ala de Plata
Alliance Forces|Fuerzas de la Alianza
Horde Forces|Fuerzas de la Horda
Revantusk Trolls|Trols Sañadiente
Darkmoon Faire|Feria de la Luna Negra
Brood of Nozdormu|Linaje de Nozdormu
Might of Kalimdor|Poder de Kalimdor
PLAYER, Blood Elf|JUGADOR, elfo de sangre
Armies of C'Thun|Ejércitos de C'Thun
Silithid Attackers|Atacantes silítidos
The Ironforge Brigade|Brigada de Forjaz
RC Enemies|Enemigos CR
RC Objects|Objetos CR
Farstriders|Los Errantes
Sunstriders|Los Caminante del Sol
Magister's Guild|Hermandad de Magister
PLAYER, Draenei|JUGADOR, draenei
Scourge Invaders|Invasores de la Plaga
Bloodmaul Clan|Clan Machacasangre
The Aldor|Los Aldor
The Consortium|El Consorcio
The Scryers|Los Arúspices
The Sha'tar|Los Sha'tar
Troll, Forest|Trol, bosque
The Omenai|Los Omenai
The Sons of Lothar|Los Hijos de Lothar
The Mag'har|Los Mag'har
Cenarion Expedition|Expedición Cenarion
Fel Orc Ghost|Fantasma de orco vil
Sons of Lothar Ghosts|Fantasmas de los Hijos de Lothar
ToWoW - Flag|ParaWoW - Bandera
Ethereum|El Etereum
Elemental, Earth|Elemental, tierra
Fighting Robots|Robots luchadores
Actor Good|Actor bueno
Actor Evil|Actor malo
Stillpine Furbolg|Fúrbolg Semprepino
Crazed Owlkin|Búhico enloquecido
Chess Alliance|Ajedrez Alianza
Chess Horde|Ajedrez Horda
Monster Spar|Monstruo de entrenamiento
Monster Spar Buddy|Compañero de monstruo de entrenamiento
The Violet Eye|El Ojo Violeta
Sunhawks|Halcones del Sol
Hand of Argus|Mano de Argus
Fungal Giant|Gigante Fungal
Spore Bat|Esporiélago
Monster, Predator|Monstruo, predador
Monster, Prey|Monstruo, presa
Void Anomaly|Anomalía del Vacío
Hyjal Defenders|Defensores de Hyjal
Hyjal Invaders|Invasores de Hyjal
Earthen Ring, Old World|Anillo de la Tierra, viejo mundo
Zangarmarsh Banner (Alliance)|Estandarte de Marisma de Zangar (Alianza)
Zangarmarsh Banner (Horde)|Estandarte de Marisma de Zangar (Horda)
Zangarmarsh Banner (Neutral)|Estandarte de Marisma de Zangar (Neutral)
Caverns of Time - Thrall|Cavernas del Tiempo - Thrall
Caverns of Time - Durnholde|Cavernas del Tiempo - Durnholde
Caverns of Time - Southshore Guards|Cavernas del Tiempo - Guardias de Costasur
Shadow Council Covert|Secreto del Consejo de la Sombra
Keepers of Time|Vigilantes del Tiempo
The Scale of the Sands|La Escama de las Arenas
Dark Portal Defender, Alliance|Defensor del Portal Oscuro, Alianza
Dark Portal Defender, Horde|Defensor del Portal Oscuro, Horda
Dark Portal Attacker, Legion|Agresor del Portal Oscuro, Legión
Inciter Trigger|Activador de incitador
Inciter Trigger 2|Activador de incitador 2
Inciter Trigger 3|Activador de incitador 3
Inciter Trigger 4|Activador de incitador 4
Inciter Trigger 5|Activador de incitador 5
Mana Creature|Criatura de maná
Khadgar's Servant|Sirviente de Khadgar
Bladespire Clan|Clan Aguja del Filo
Ethereum Sparbuddy|Compañero de entrenamiento de El Etereum
Protectorate|Protectorado
Arcane Annihilator (DNR)|Aniquilador Arcano (DNR)
Friendly, Hidden|Amistoso, oculto
Servant of Illidan|Sirviente de Illidan
Ashtongue Deathsworn|Juramorte Lengua de Ceniza
Spirits of Shadowmoon 1|Espíritus de Sombraluna 1
Spirits of Shadowmoon 2|Espíritus de Sombraluna 2
Netherwing|Ala Abisal
Wyrmcult|Culto Vermis
Treant|Antárbol
Leotheras Demon I|Demonio Leotheras I
Leotheras Demon II|Demonio Leotheras II
Leotheras Demon III|Demonio Leotheras III
Leotheras Demon IV|Demonio Leotheras IV
Leotheras Demon V|Demonio Leotheras V
Rock Flayer|Despellejador de roca
Flayer Hunter|Cazador despellejador
Shadowmoon Shade|Sombra de Sombraluna
Legion Communicator|Comunicador de la Legión
Ravenswood Ancients|Ancianos del Bosque del Cuervo
Chess, Friendly to All Chess|Ajedrez, amistoso con todo el tablero
Black Temple Gates - Illidari|Puertas del Templo Oscuro - Illidari
Sha'tari Skyguard|Guardia del cielo Sha'tari
Skettis Shadowy Arakkoa|Arakkoa oscuro Skettis
Skettis Arakkoa|Arakkoa Skettis
Dragonmaw Enemy|Enemigo Faucedraco
Alliance Vanguard|Vanguardia de la Alianza
Frenzy|dientedaga
Skyguard Enemy|Enemigo de la Guardia del cielo
Skunk, Petunia|Mofeta, Petunia
Theramore Deserter|Desierto de Theramore
Northsea Pirates|Piratas del Mar del Norte
Troll, Amani|Trol, Amani
Valiance Expedition|Expedición de Denuedo
Horde Expedition|Expedición de la Horda
Westguard|Guardia Oeste
Spotted Gryphon|Grifo moteado
Tamed Plaguehound|Can de peste domesticado
Vrykul (Ancient Spirit 1)|Vrykul (espíritu antiguo 1)
Vrykul (Ancient Siprit 2)|Vrykul (espíritu antiguo 2)
Vrykul (Ancient Siprit 3)|Vrykul (espíritu antiguo 3)
CTF - Flag - Alliance|CLB - Bandera - Alianza
Vrykul Gladiator|Gladiador vrykul
Valgarde Combatant|Combatiente de Valgarde
The Taunka|Los taunka
Monster, Zone Force Reaction 1|Monster, Reacción de fuerza de zona 1
Monster, Zone Force Reaction 2|Monster, Reacción de fuerza de zona 2
The Hand of Vengeance|La Mano de la Venganza
Explorers' League|Liga de Expedicionarios
Craig's Squirrels|Ardillas de Craig
The Kalu'ak|Los Kalu'ak
Holiday - Water Barrel|Fiesta - Barrica de agua
Holiday - Generic|Fiesta - Genérico
Iron Dwarves|Enanos de Hierro
Shattered Sun Offensive|Ofensiva Sol Devastado
Fighting Vanity Pet|Mascota de vanidad combativa
Murloc, Winterfin|Múrloc, Aleta Invernal
Friendly, Force Reaction 1|Aliado, forzar reacción 1
Object, Force Reaction|Objeto, Reacción de fuerza
Vrykul, Sea|Vrykul, mar
Warsong Offensive|Ofensiva Grito de Guerra
Poacher|dracónido
Holiday Monster|Monstruo de Fiesta
Furbolg, Redfang|Fúrbolg, Colmillorrojo
Furbolg, Frostpaw|Fúrbolg, Pataescarcha
The Wyrmrest Accord|Acuerdo del Reposo del Dragón
The Silver Covenant|El Pacto de Plata
Grizzly Hills Trapper|Trampero de las Colinas Pardas
Knights of the Ebon Blade|Caballeros de la Espada de Ébano
Wrathgate Scourge|Puerta de Cólera Plaga
Wrathgate Alliance|Puerta de Cólera Alianza
Wrathgate Horde|Puerta de Cólera Horda
CTF - Flag - Horde|CLB - Bandera - Horda
CTF - Flag - Neutral|CLB - Bandera - Neutral
Frenzyheart Tribe|Tribu Corazón Frenético
The Oracles|Los Oráculos
Argent Crusade|Cruzada Argenta
Troll, Drakkari|Trol, Drakkari
CoT Arthas|CdT Arthas
CoT Stratholme Citizen|CdT Ciudadano de Stratholme
CoT Scourge|CdT Plaga
Mount - Taxi - Alliance|Montura, taxi, Alianza
Mount - Taxi - Horde|Montura, taxi, Horda
Mount - Taxi - Neutral|Montura, taxi, neutral
Elemental, Water|Elemental, agua
Elemental, Air|Elemental, aire
Classic|Clásicas
The Sons of Hodir|Los Hijos de Hodir
Iron Giants|Gigantes de Hierro
Frost Vrykul|Vrykul de escarcha
Storm Peaks Earthen|Terráneos de las Cumbres Tormentosas
Monster Referee|Árbitro monstruo
The Sunreavers|Los Atracasol
Hyldsmeet|Encuentro Hyldnir
The Frostborn|Los Natoescarcha
Twilight's Hammer|Martillo Crepuscular
Furbolg, Blackwood|Fúrbolg, Bosque Negro
Stag, Darkshore|Venado, Costa Oscura
Bear, Darkshore|Oso, Costa Oscura
Moonstalker, Darkshore|Acechalunas, Costa Oscura
Bilgewater Cartel|Cártel Pantoque
The Earthen Ring|Anillo de la Tierra
Tranquillien Conversion|Conversión de Tranquillien
Wintersaber Conversion|Conversión de sableinvernales
Cataclysm - New Neutral Reputation|Cataclysm - Nueva Reputación Neutral
Magram Remnant|Restos de Magram
Sons of Gelkis|Hijos de Gelkis
Hates Everything|Odia todo
PLAYER, Goblin|JUGADOR, goblin
PLAYER, Worgen|JUGADOR, huargen
Silver Covenant Conversion|Conversión Pacto de Plata
Sunreavers Conversion|Conversión Atracasol
The Ashen Verdict|El Veredicto Cinéreo
Pygmy|Cuernoatroz
Guardians of Hyjal|Guardianes de Hyjal
CTF - Flag - Alliance 2|CLB - Bandera - Alianza 2
CTF - Flag - Horde 2|CLB - Bandera - Horda 2
Grimtotem|Tótem Siniestro
Guild|Hermandad
Dragonmaw Clan|Clan Faucedraco
Wildhammer Clan|Clan Martillo Salvaje
Baradin's Wardens|Celadores de Baradin
Hellscream's Reach|Mando Grito Infernal
Friendly, New|Amistoso, nuevo
Avengers of Hyjal|Vengadores de Hyjal
Shang Xi's Academy|Academia de Shang Xi
Forest Hozen|Hozen del bosque
CoT Well of Eternity - Illidan|CdT Pozo de la Eternidad: Illidan
CoT Well of Eternity - High Elves|CdT Pozo de la Eternidad: Elfos nobles
CoT Well of Eternity - Illidan (Stealth)|CdT Pozo de la Eternidad: Illidan (sigilo)
CoT Well of Eternity - Demons|CdT Pozo de la Eternidad: Demonios
CoT Well of Eternity - Demon Balls|CdT Pozo de la Eternidad: Bolas de demonio
CoT Well of Eternity - Hunter Stalkers|CdT Pozo de la Eternidad: Acechadores de cazador
Pearlfin Jinyu|Jinyu Aleta de Nácar
PLAYER, Expansion 4 Neutral|JUGADOR, expansión 4 neutral
Guardians of the East Temple|Guardianes del Templo del Este
Mogu|mogu
Golden Lotus|Loto Dorado
Shado-Pan|Shadopan
Order of the Cloud Serpent|Orden del Dragón Nimbo
The Tillers|Los Labradores
Jogu the Drunk|Jogu el Ebrio
Old Hillpaw|Viejo Zarpa Collado
Haohan Mudclaw|Haohan Zarpa Fangosa
Tina Mudclaw|Tina Zarpa Fangosa
Gina Mudclaw|Gina Zarpa Fangosa
Fish Fellreed|Pez Junco Talado
Farmer Fung|Granjero Fung
Guardians of the Red Crane|Guardianes de la Grulla Roja
The Anglers|Los Pescadores
The Mantid Swarm|El Enjambre mántide
The Klaxxi|Los Klaxxi
Gurthan Mogu|Mogu Gurthan
Harthak Mogu|Mogu de Harthak
Korgesh Mogu|Mogu de Korgesh
The August Celestials|Los Augustos Celestiales
The Lorewalkers|Los Eremitas
The Brewmasters|Los Maestros Cerveceros
Huojin Pandaren|Pandaren huojin
Tushui Pandaren|Pandaren tushui
The Black Prince|El Príncipe Negro
Friendly, Force Reaction 2|Aliado, forzar reacción 2
Friendly, Force Reaction 3|Aliado, forzar reacción 3
Friendly, Force Reaction 4|Aliado, forzar reacción 4
Friendly, Force Reaction 5|Aliado, forzar reacción 5
Friendly, Force Reaction 6|Aliado, forzar reacción 6
Friendly, Force Reaction 7|Aliado, forzar reacción 7
Brawl'gar Arena (Season 1)|Arena Liza'gar (Temporada 1)
Dominance Offensive|Ofensiva de Dominancia
Operation: Shieldwall|Muro de escudos
Kirin Tor Offensive|Ofensiva del Kirin Tor
Sunreaver Onslaught|Embate de los Atracasol
Akama's Trust|Confianza de Akama
Bizmo's Brawlpub (Season 1)|Club de Lucha de Bizmo (Temporada 1)
Monster, Enforced Neutral For Force Reaction|Monstruo, forzado a neutral para reacción de fuerza
Shado-Pan Assault|Asalto del Shadopan
Darkspear Rebellion|Rebelión Lanza Negra
Frostwolf Orcs|Orcos Lobo Gélido
Forelings|Vainetes
Foreling-Eaters|Comevainetes
The Timewalkers|Los Caminantes del Tiempo
Emperor Shaohao|Emperador Shaohao
Frostfire Ogres|Ogros Fuego Glacial
Red Phantom|Fantasma Rojo
Shadowmoon Orcs|Orcos Sombraluna
The Pale|Los pálidos
Adherents of Rukhmar|Adeptos de Rukhmar
Arakkoa Outcasts|Arakkoa desterrados
Shadowmoon Exiles|Exiliados Sombraluna
Shadow Council|Consejo de la Sombra
Primal|Primigenio
Breaker|Rompedor
The Iron Horde|La Horda de Hierro
The Sargerei|Los Sargerei
Draenor Spores|Esporas de Draenor
Operation: Aardvark|Operación: Oricteropo
Vol'jin's Spear|Lanza de Vol'jin
Wrynn's Vanguard|Vanguardia de Wrynn
Gorgrond Goren|Goren de Gorgrond
Brawl'gar Arena (Season 2)|Arena Liza'gar (temporada 2)
Bizmo's Brawlpub (Season 2)|Club de Lucha de Bizmo (temporada 2)
Laughing Skull Orcs|Orcos Riecráneos
Sha'tari Defense|Defensa Sha'tari
Steamwheedle Preservation Society|Sociedad Patrimonial Bonvapor
Council of Exarchs|Consejo de Exarcas
Steamwheedle Draenor Expedition|Expedición Bonvapor de Draenor
Delvar Ironfist|Delvar Puño de Hierro
Barracks Bodyguards|Guardaespaldas del cuartel
Talonpriest Ishaal|Sacerdote de la garra Ishaal
Defender Illona|Defensora Illona
Aeda Brightdawn|Aeda Alba Brillante
Nagrand Gronn|Gronns de Nagrand
Coliseum Treasure|Tesoro del Coliseo
Highmaul Gladiators|Gladiadores de Ogrópolis
Burning Legion Invaders|Invasores de la Legión Ardiente
Gilnean Survivors|Supervivientes de Gilneas
Highmountain Tribe|Tribu Monte Alto
Uncrowned|Duelistas
Legion|Legión
Hand of the Prophet|Mano del Profeta
Vol'jin's Headhunters|Rebanacabezas de Vol'jin
Order of the Awakened|Orden de los Despiertos
The Saberstalkers|Acechasablerones
The Nightfallen|Caídos de la Noche
Arcane Thirst (Thalyssra)|Sedientos de lo Arcano (Thalyssra)
Arcane Thirst (Silgryn) DEPRECATED|Sedientos de lo Arcano (Silgryn) DEPRECATED
Arcane Thirst (Oculeth)|Sedientos de lo Arcano (Oculeth)
Dreamweavers|Tejesueños
Jandvik Vrykul|Vrykul Jandvik
The Wardens|Las Celadoras
Moonguard|Guardia Lunar
Court of Farondis|Corte de Farondis
Dreamgrove Druid|Druida de la Arboleda de los Sueños
Drogbar|Roepiedra
Kvaldir Ghosts|Fantasmas Kvaldir
Withered|resistente
Arcane Thirst (Valtrois)|Ansia Arcana (Valtrois)
Moon Guard|Guardia Lunar
Nightmare|desatada
Nightborne Civilian|Civil Nocheterna
Conjurer Margoss|Conjurador Margoss
The First Responders|Los primeros intervinientes
Brawl'gar Arena (Season 3)|Arena Liza'gar (temporada 3)
Bizmo's Brawlpub (Season 3)|Club de Lucha de Bizmo (temporada 3)
Nightborne Rebels|Rebeldes Nocheterna
Talon's Vengeance|Venganza de la Garfa
Armies of Legionfall|Ocaso de la Legión
Highmountain Tribe (Paragon)|Tribu Monte Alto (baluarte)
Valarjar (Paragon)|Valarjar (baluarte)
Court of Farondis (Paragon)|Corte de Farondis (baluarte)
Dreamweavers (Paragon)|Tejesueños (baluarte)
The Nightfallen (Paragon)|Caídos de la Noche (baluarte)
The Wardens (Paragon)|Las Celadoras (baluarte)
Armies of Legionfall (Paragon)|Ocaso de la Legión (baluarte)
Ilyssia of the Waters|Ilyssia de las Aguas
Keeper Raynae|Guardiana Raynae
Akule Riverhorn|Akule Cuerno de Río
Impus|Diablillus
Zandalari Empire|Imperio Zandalari
Zandalari Dinosaurs|Dinosaurios Zandalari
Great Sea Privateers|Corsarios del Mare Magnum
Irontide Raiders|Asaltantes Marea de Hierro
Blood Trolls|Trols de Sangre
Talanji's Expedition|Expedición de Talanji
The Honorbound|Defensores del Honor
7th Legion|Séptima Legión
Proudmoore Admiralty|Almirantazgo de la Casa Valiente
Order of Embers|Orden de Ascuas
Storm's Wake|Despertar de la Tormenta
Tortollan Seekers|Buscadores Tortolianos
Champions of Azeroth|Campeones de Azeroth
Army of the Light|Ejército de la Luz
Army of the Light (Paragon)|Ejército de la Luz (baluarte)
Argussian Reach (Paragon)|Gloria de Argus (baluarte)
Argussian Reach|Gloria de Argus
The Bilge Rats|Ratas de Pantoque
Blacktooth Brawlers|Camorristas Dientenegro
Cutwater Corsairs|Corsarios Aguacortada
Ashvane Trading Co.|Compañía Comercial Gobernalle
Beast - Bee|Bestia - Abeja
Beast - Wendigo|Bestia - Wendigo
Dino Training - Pterrodax|Dinoentrenamiento - Pterrordáctilo
Bees|Abejas
Dino Training - Direhorn|Dinoentrenamiento - Cuernoatroz
Bizmo's Brawlpub (Season 4)|Club de Lucha de Bizmo (temporada 4)
Brawl'gar Arena (Season 4)|Arena Liza'gar (temporada 4)
The Unshackled|Desencadenados
The Unshackled (Paragon)|Desencadenados (baluarte)
Hunter Akana|Cazador Akana
Farseer Ori|Clarividente Ori
Bladesman Inowari|Esgrimidor Inowari
Zandalari Empire (Paragon)|Imperio Zandalari (baluarte)
Proudmoore Admiralty (Paragon)|Almirantazgo de la Casa Valiente (baluarte)
Talanji's Expedition (Paragon)|Expedición de Talanji (baluarte)
Storm's Wake (Paragon)|Despertar de la Tormenta (baluarte)
Voldunai (Paragon)|Voldunai (baluarte)
Order of Embers (Paragon)|Orden de Ascuas (baluarte)
7th Legion (Paragon)|Séptima Legión (baluarte)
The Honorbound (Paragon)|Defensores del Honor (baluarte)
Champions of Azeroth (Paragon)|Campeones de Azeroth (baluarte)
Tortollan Seekers (Paragon)|Buscadores Tortolianos (baluarte)
Poen Gillbrack|Poen Branquiano
Neri Sharpfin|Neri Escama Letal
Vim Brineheart|Vim Almasalmuera
Rustbolt Resistance|Resistencia de Pernoóxido
Rustbolt Resistance (Paragon)|Resistencia de Pernoóxido (baluarte)
Hermit Crabs|Cangrejos ermitaños
Honeyback Hive|Colmena mielabdomen
Honeyback Drone|Zángano mielabdomen
Honeyback Hivemother|Madre de colmena mielabdomen
Honeyback Harvester|Cosechadora mielabdomen
Waveblade Ankoan|Ankoan Hojamarea
Waveblade Ankoan (Paragon)|Ankoan Hojamarea (baluarte)
The Ascended|Los Ascendidos
Dark Kyrian|Kyrianos Oscuros
The Undying Army|El Ejército Inmortal
Stone Legion|Legión Pétrea
Court of Harvesters|Corte de los Cosechadores
Shadowlands|Tierras Sombrías
Rajani (Paragon)|Rajani (baluarte)
Uldum Accord|Acuerdo de Uldum
Uldum Accord (Paragon)|Acuerdo de Uldum (baluarte)
Night Fae|Sílfides nocturnas
Aqir Hatchling|Cría aqir
Torghast - Guard|Torghast - Guardia
Torghast - Prisoner|Torghast - Prisionero
The Avowed|Los Declarados
The Undying Army (Paragon)|El Ejército Inmortal (dechado)
The Ascended (Paragon)|Los Ascendidos (dechado)
Court of Harvesters (Paragon)|Corte de los Cosechadores (dechado)
The Wild Hunt (Paragon)|La Cacería Salvaje (dechado)
Rendle and Cudgelface|Rendle y Caragarrote
Cryptkeeper Kassir|Guardacriptas Kassir
Grandmaster Vole|Gran maestro Vole
Kleia and Pelagos|Kleia y Pelagos
Stonehead|Cabeza Pétrea
Stitchmasters|Maestros de costura
Court of Night|Corte de la Noche
The Wild Hunt|La Cacería Salvaje
Fractal Lore|Conocimiento fractal
Death's Advance|Avance de la Muerte
Death's Advance (Paragon)|Avance de la Muerte (baluarte)
The Archivists' Codex|Códice de los Archivistas
The Archivists' Codex (Paragon)|Códice de los Archivistas (baluarte)
Ve'nari (Paragon)|Ve'nari (baluarte)
The Enlightened|Los Iluminados
The Enlightened (Paragon)|Los Iluminados (baluarte)
Zereth Mortis Lured Monsters|Monstruos atraídos de Zereth Mortis
Maruuk Centaur|Centauros Maruuk
Maruuk Centaur (Paragon)|Centauros Maruuk (Dechado)
Dragonscale Expedition|Expedición Dragontina
Dragonscale Expedition (Paragon)|Expedición Dragontina (Dechado)
Valdrakken Accord|Acuerdo de Valdrakken
Iskaara Tuskarr|Colmillarr de Iskaara
Primalists|Primalistas
Djaradin|djaradin
Reclaimers|Reivindicadores
Clan Nokhud (Paragon)|Clan Nokhud (Dechado)
Dark Talons|Garfas Oscuras
Obsidian Warders|Depositarias Obsidiana
Elemental, Fire|Elemental, fuego
Winterpelt Furbolg|Fúrbolg Pelaje Invernal
Artisan's Consortium - Dragon Isles Branch|Consorcio de Artesanía - Rama de las Islas Dragón
Iskaara Tuskarr (Paragon)|Colmillarr de Iskaara (baluarte)
Valdrakken Accord (Paragon)|Acuerdo de Valdrakken (baluarte)
Loamm Niffen|Niffen de Loamm
Loamm Niffen (Paragon)|Niffen de Loamm (dechado)
Glimmerogg Racer|Corredor de Destellorogg
Hallowfall Arathi|Arathi de Santificación
Dream Wardens|Celadores Oníricos
Dream Wardens (Paragon)|Celadores Oníricos (baluarte)
Druids of the Flame|Druidas de la Llama
Council of Dornogal|Consejo de Dornogal
Keg Leg's Crew|Tripulación de Patabarril
The Assembly of the Deeps|La Asamblea de las Profundidades
Order of Night|Orden de la Noche
The Severed Threads (Paragon)|Los Hilos Cortados (baluarte)
The Severed Threads|Los Hilos Cortados
The Weaver|La Tejedora
Keg Leg's Crew (Paragon)|Tripulación de Patabarril (baluarte)
The General|El general
The High Hollows|Las Cuencas Altas
The Vizier|El visir
Azj-Kaheti Nerubian (Always Hostile) (Hidden)|Azj-kaheti nerubiano (siempre hostil) (oculto)
Hallowfall Arathi (Paragon)|Arathi de Santificación (baluarte)
Council of Dornogal (Paragon)|Consejo de Dornogal (baluarte)
The Assembly of the Deeps (Paragon)|La Asamblea de las Profundidades (baluarte)
The Siegehold|El Fuerte Asedio
Keg Leg Thrasher|Descarnador de Patabarril
PLAYER, Earthen Alliance|JUGADOR, terráneo de la Alianza
PLAYER, Earthen Horde|JUGADOR, terráneo de la Horda
Delves: Season 1|Profundidades: temporada 1
The Vizier (Paragon)|El visir (dechado)
The Weaver (Paragon)|La Tejedora (dechado)
The General (Paragon)|El general (dechado)
Darkfuse Enforcement|Autoridad de Fundisombras
The Cartels of Undermine|Los Cárteles de Minahonda.
The K'aresh Trust|El Fideicomiso de K'aresh
The K'aresh Trust (Paragon)|El Fideicomiso de K'aresh (dechado)
Roasts and Boasts|Cafeto Indiscreto
The Cartels of Undermine (Paragon)|Los Cárteles de Minahonda (dechado)
Darkfuse Solutions (Paragon)|Soluciones Fundisombras (Baluarte)
Darkfuse Solutions|Soluciones Fundisombras
Venture Company (Paragon)|Ventura y Cía. (dechado)
Bilgewater Cartel (Paragon)|Cártel Pantoque (dechado)
Blackwater Cartel (Paragon)|Cártel Aguasnegras (dechado)
Blackwater Cartel|Cártel Aguasnegras
Steamwheedle Cartel (Paragon)|Cártel Bonvapor (dechado)
Delves: Season 2|Profundidades: temporada 2
Gallagio Loyalty Rewards Club (Paragon)|Club de Fidelización del Gallagio (dechado)
Gallagio Loyalty Rewards Club|Club de Fidelización del Gallagio
Flame's Radiance|Radiancia de la Llama
Flame's Radiance (Paragon)|Radiancia de la Llama (baluarte)
Delver's Journey (Season 1)|Viaje de explorador de profundidades (temporada 1)
Amani Tribe|Tribu Amani
The Singularity|La Singularidad
Amani Tribe (Paragon)|Tribu Amani (dechado)
Witherbark Tribe|Tribu Secacorteza
Vanguard of the Light|Vanguardia de la Luz
Silvermoon Court|Corte de Lunargenta
Magisters|Magistri
Blood Knights|Caballeros de sangre
Shades of the Row|Sombra del Frontal
Delves: Season 3|Profundidades: temporada 3
The Singularity (Paragon)|La Singularidad (dechado)
